embedded_id_vote_date,embedded_id_party,number_ballots,avg_born_year,avg_total_votes,avg_yes_votes,avg_no_votes,avg_abstain_votes,avg_absent_votes,percentage_approved,avg_percentage_yes,avg_percentage_no,avg_percentage_absent,avg_percentage_abstain,avg_percentage_male,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,party_total_votes,party_yes_votes,party_no_votes,party_abstain_votes,party_absent_votes,party_avg_born_year,party_avg_percentage_male,party_percentage_yes,party_percentage_no,party_percentage_abstain,party_percentage_absent,percentage_yes,percentage_no,percentage_abstain,percentage_absent,party_won_total,party_won_percentage,approved_total,approved_percentage
2016-06-09,V,5,1969,349,172.80,36.60,88.40,51.20,100.00,49.51,10.49,14.67,25.33,54.15,1745,864,183,442,256,105,0,34,51,20,1971,38.10,0.00,32.38,48.57,19.05,49.51,10.49,25.33,14.67,0,0.00,5,100.00
2015-03-12,L,8,1969,349,232.75,55.13,14.75,46.38,100.00,66.69,15.79,13.29,4.23,55.30,2792,1862,441,118,371,152,96,31,0,25,1968,68.42,63.16,20.39,0.00,16.45,66.69,15.80,4.23,13.29,6,75.00,8,100.00
2004-06-08,MP,1,1954,349,150.00,113.00,0.00,86.00,100.00,42.98,32.38,24.64,0.00,54.73,349,150,113,0,86,17,14,0,0,3,1955,47.06,82.35,0.00,0.00,17.65,42.98,32.38,0.00,24.64,1,100.00,1,100.00
2012-05-21,SD,14,1963,349,205.21,63.57,39.64,40.57,100.00,58.80,18.21,11.62,11.36,57.02,4886,2873,890,555,568,266,117,113,35,1,1969,84.21,43.98,42.48,13.16,0.38,58.80,18.22,11.36,11.63,7,50.00,14,100.00
2012-02-16,M,2,1963,349,206.50,61.50,46.50,34.50,100.00,59.17,17.62,9.89,13.33,55.30,698,413,123,93,69,214,195,0,1,18,1964,56.07,91.12,0.00,0.47,8.41,59.17,17.62,13.32,9.89,2,100.00,2,100.00
2003-03-27,MP,13,1954,349,185.31,93.46,17.69,52.54,100.00,53.10,26.78,15.05,5.07,54.40,4537,2409,1215,230,683,221,105,16,59,41,1954,47.06,47.51,7.24,26.70,18.55,53.10,26.78,5.07,15.05,8,61.54,13,100.00
2008-11-11,KD,1,1958,349,149.00,137.00,0.00,63.00,100.00,42.69,39.26,18.05,0.00,53.30,349,149,137,0,63,24,21,0,0,3,1952,54.17,87.50,0.00,0.00,12.50,42.69,39.26,0.00,18.05,1,100.00,1,100.00
2021-06-09,MP,30,1973,349,36.57,13.23,6.10,293.10,93.33,10.48,3.79,83.98,1.75,53.01,10470,1097,397,183,8793,480,76,12,0,392,1978,25.00,15.83,2.50,0.00,81.67,10.48,3.79,1.75,83.98,28,93.33,28,93.33
2009-01-28,S,1,1959,349,273.00,14.00,0.00,62.00,100.00,78.22,4.01,17.77,0.00,52.72,349,273,14,0,62,130,109,1,0,20,1958,52.31,83.85,0.77,0.00,15.38,78.22,4.01,0.00,17.77,1,100.00,1,100.00
2012-11-13,MP,3,1963,349,156.00,101.00,54.00,38.00,100.00,44.70,28.94,10.89,15.47,56.73,1047,468,303,162,114,75,0,0,63,12,1963,48.00,0.00,0.00,84.00,16.00,44.70,28.94,15.47,10.89,0,0.00,3,100.00
2024-01-31,SD,6,1975,349,208.33,88.67,6.00,46.00,100.00,59.70,25.41,13.18,1.72,52.44,2094,1250,532,36,276,432,378,0,0,54,1976,73.61,87.50,0.00,0.00,12.50,59.69,25.41,1.72,13.18,6,100.00,6,100.00
2023-04-26,L,30,1975,349,203.00,65.27,30.63,50.10,100.00,58.17,18.70,14.36,8.78,52.15,10470,6090,1958,919,1503,480,420,0,0,60,1971,37.50,87.50,0.00,0.00,12.50,58.17,18.70,8.78,14.36,30,100.00,30,100.00
2006-03-28,MP,6,1954,349,217.00,79.00,0.50,52.50,100.00,62.18,22.64,15.05,0.15,54.44,2094,1302,474,3,315,102,80,16,0,6,1958,52.94,78.43,15.69,0.00,5.88,62.18,22.64,0.14,15.04,5,83.33,6,100.00
2023-03-09,V,5,1975,349,204.40,65.80,31.60,47.20,100.00,58.57,18.85,13.53,9.06,53.01,1745,1022,329,158,236,120,104,0,0,16,1977,25.00,86.67,0.00,0.00,13.33,58.57,18.85,9.05,13.52,5,100.00,5,100.00
2012-04-19,MP,3,1963,349,233.00,58.00,0.00,58.00,100.00,66.76,16.62,16.62,0.00,57.02,1047,699,174,0,174,75,0,69,0,6,1964,48.00,0.00,92.00,0.00,8.00,66.76,16.62,0.00,16.62,0,0.00,3,100.00
2017-03-02,MP,9,1969,349,208.00,87.33,1.67,52.00,100.00,59.60,25.02,14.90,0.48,53.87,3141,1872,786,15,468,225,143,37,0,45,1968,44.00,63.56,16.44,0.00,20.00,59.60,25.02,0.48,14.90,7,77.78,9,100.00
2013-04-04,L,1,1963,349,193.00,119.00,0.00,37.00,100.00,55.30,34.10,10.60,0.00,56.45,349,193,119,0,37,24,22,0,0,2,1960,54.17,91.67,0.00,0.00,8.33,55.30,34.10,0.00,10.60,1,100.00,1,100.00
2018-05-31,C,8,1970,349,208.13,61.63,17.13,62.13,100.00,59.64,17.66,17.81,4.91,54.15,2792,1665,493,137,497,176,90,54,0,32,1967,63.64,51.14,30.68,0.00,18.18,59.63,17.66,4.91,17.80,5,62.50,8,100.00
2010-12-07,V,14,1963,349,195.86,114.50,11.00,27.64,92.86,56.12,32.81,7.92,3.15,54.73,4886,2742,1603,154,387,266,30,169,15,52,1960,42.11,11.28,63.53,5.64,19.55,56.12,32.81,3.15,7.92,1,7.14,13,92.86
2003-05-06,S,1,1954,349,263.00,25.00,0.00,61.00,100.00,75.36,7.16,17.48,0.00,55.30,349,263,25,0,61,144,122,0,0,22,1954,53.47,84.72,0.00,0.00,15.28,75.36,7.16,0.00,17.48,1,100.00,1,100.00
2021-01-27,KD,17,1973,349,35.76,17.82,2.41,293.00,100.00,10.25,5.11,83.95,0.69,51.29,5933,608,303,41,4981,374,21,24,6,323,1969,68.18,5.61,6.42,1.60,86.36,10.25,5.11,0.69,83.95,7,41.18,17,100.00
2021-03-24,C,24,1973,349,39.00,11.88,5.00,293.13,100.00,11.18,3.40,83.99,1.43,52.72,8376,936,285,120,7035,744,86,20,14,624,1972,58.06,11.56,2.69,1.88,83.87,11.17,3.40,1.43,83.99,18,75.00,24,100.00
2013-05-15,M,12,1963,349,225.17,82.92,1.50,39.42,100.00,64.52,23.76,11.29,0.43,56.16,4188,2702,995,18,473,1284,1077,98,0,109,1965,57.01,83.88,7.63,0.00,8.49,64.52,23.76,0.43,11.29,11,91.67,12,100.00
2020-12-10,M,6,1973,349,31.33,13.33,10.00,294.33,100.00,8.98,3.82,84.34,2.87,50.72,2094,188,80,60,1766,420,33,11,22,354,1972,44.29,7.86,2.62,5.24,84.29,8.98,3.82,2.87,84.34,3,50.00,6,100.00
2005-10-18,-,4,1954,349,149.75,97.00,37.50,64.75,100.00,42.91,27.80,18.56,10.75,54.73,1396,599,388,150,259,8,3,1,0,4,1952,0.00,37.50,12.50,0.00,50.00,42.91,27.79,10.74,18.55,3,75.00,4,100.00
2005-05-31,M,8,1954,349,179.88,116.13,0.00,53.00,100.00,51.54,33.27,15.19,0.00,54.44,2792,1439,929,0,424,440,50,326,0,64,1954,58.18,11.36,74.09,0.00,14.55,51.54,33.27,0.00,15.19,1,12.50,8,100.00
2019-10-23,V,7,1973,349,197.29,71.57,40.00,40.14,100.00,56.53,20.51,11.50,11.46,52.72,2443,1381,501,280,281,189,138,23,0,28,1975,37.04,73.02,12.17,0.00,14.81,56.53,20.51,11.46,11.50,6,85.71,7,100.00
2008-11-04,L,5,1958,349,217.80,67.40,3.20,60.60,100.00,62.41,19.31,17.37,0.92,53.30,1745,1089,337,16,303,140,107,0,0,33,1960,42.86,76.43,0.00,0.00,23.57,62.41,19.31,0.92,17.36,5,100.00,5,100.00
2010-05-26,V,5,1959,349,174.40,118.80,0.40,55.40,100.00,49.97,34.04,15.87,0.11,53.01,1745,872,594,2,277,110,0,91,0,19,1958,36.36,0.00,82.73,0.00,17.27,49.97,34.04,0.11,15.87,0,0.00,5,100.00
2020-03-18,KD,22,1973,349,37.55,9.68,7.73,294.05,100.00,10.76,2.77,84.25,2.21,52.44,7678,826,213,170,6469,484,39,15,12,418,1969,63.64,8.06,3.10,2.48,86.36,10.76,2.77,2.21,84.25,13,59.09,22,100.00
2010-02-08,S,6,1959,349,159.17,114.33,3.17,72.33,100.00,45.60,32.76,20.73,0.91,53.30,2094,955,686,19,434,780,97,490,0,193,1959,53.08,12.44,62.82,0.00,24.74,45.61,32.76,0.91,20.73,1,16.67,6,100.00
2009-12-21,M,3,1959,349,190.67,95.33,0.67,62.33,100.00,54.63,27.32,17.86,0.19,53.30,1047,572,286,2,187,291,255,0,0,36,1959,56.70,87.63,0.00,0.00,12.37,54.63,27.32,0.19,17.86,3,100.00,3,100.00
2012-06-01,M,3,1963,349,215.00,82.33,7.00,44.67,100.00,61.60,23.59,12.80,2.01,57.02,1047,645,247,21,134,321,285,0,1,35,1965,58.88,88.79,0.00,0.31,10.90,61.60,23.59,2.01,12.80,3,100.00,3,100.00
2007-04-12,MP,7,1958,349,219.00,56.29,0.14,73.57,100.00,62.75,16.13,21.08,0.04,51.58,2443,1533,394,1,515,133,15,90,0,28,1964,52.63,11.28,67.67,0.00,21.05,62.75,16.13,0.04,21.08,1,14.29,7,100.00
2018-06-14,V,11,1970,349,226.45,56.27,5.27,61.00,100.00,64.89,16.12,17.48,1.51,54.44,3839,2491,619,58,671,231,152,38,19,22,1971,38.10,65.80,16.45,8.23,9.52,64.89,16.12,1.51,17.48,8,72.73,11,100.00
