embedded_id_vote_date,embedded_id_party,number_ballots,avg_born_year,avg_percentage_yes,avg_percentage_no,avg_percentage_absent,avg_percentage_abstain,avg_percentage_male,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,party_total_votes,party_yes_votes,party_no_votes,party_abstain_votes,party_absent_votes,party_avg_born_year,party_avg_percentage_male,party_percentage_yes,party_percentage_no,party_percentage_abstain,party_percentage_absent,party_won_total,party_won_percentage,approved_total,approved_percentage,percentage_yes,percentage_no,percentage_abstain,percentage_absent,avg_percentage_approved
2010-12-01,L,71,1963,67.03,21.73,8.16,3.09,54.66,24779,15369,6540,782,2088,1704,1425,81,0,198,1960,57.34,83.63,4.75,0.00,11.62,67,94.37,69,97.18,62.02,26.39,3.16,8.43,98.18
2023-05-01,V,110,1975,58.29,17.15,14.30,10.27,52.44,38390,22593,6602,3738,5457,2640,1102,648,454,436,1977,26.39,41.74,24.55,17.20,16.52,57,51.82,110,100.00,58.85,17.20,9.74,14.21,100.00
2024-01-01,KD,12,1975,64.69,17.08,13.78,4.47,52.58,4188,2709,715,187,577,228,192,0,0,36,1970,73.68,84.21,0.00,0.00,15.79,12,100.00,12,100.00,64.68,17.07,4.47,13.78,100.00
2013-04-01,S,71,1963,66.89,20.33,10.75,2.04,56.42,24779,16114,5146,782,2737,7952,3326,3325,300,1001,1962,51.70,41.83,41.81,3.77,12.59,36,50.70,70,98.59,65.03,20.77,3.16,11.05,98.81
2009-05-01,M,28,1959,49.36,30.80,18.24,1.59,52.46,9772,4973,2928,105,1766,2716,2320,0,0,396,1959,58.76,85.42,0.00,0.00,14.58,28,100.00,28,100.00,50.89,29.96,1.07,18.07,100.00
2004-04-01,C,83,1954,60.84,16.82,16.32,6.02,54.96,28967,17599,5066,1745,4557,1826,847,513,116,350,1955,50.00,46.39,28.09,6.35,19.17,53,63.86,81,97.59,60.76,17.49,6.02,15.73,98.33
2017-01-01,M,16,1969,68.69,14.74,13.10,3.48,53.58,5584,3764,855,255,710,1344,734,297,141,172,1968,48.81,54.61,22.10,10.49,12.80,12,75.00,16,100.00,67.41,15.31,4.57,12.71,100.00
2023-09-01,SD,3,1975,77.27,7.35,13.56,1.81,53.87,1047,809,77,19,142,216,189,0,0,27,1977,76.39,87.50,0.00,0.00,12.50,3,100.00,3,100.00,77.27,7.35,1.81,13.56,100.00
2024-11-01,L,18,1975,51.79,21.08,15.90,11.23,54.44,6282,3348,1406,560,968,288,230,13,0,45,1975,43.75,79.86,4.51,0.00,15.63,17,94.44,18,100.00,53.30,22.38,8.91,15.41,100.00
2011-06-01,SD,27,1963,67.75,13.09,13.93,5.23,54.59,9423,6441,1230,368,1384,540,363,116,46,15,1970,85.00,67.22,21.48,8.52,2.78,19,70.37,27,100.00,68.35,13.05,3.91,14.69,100.00
2017-09-01,L,4,1969,74.22,12.33,13.47,0.00,53.58,1396,1036,172,0,188,76,62,0,0,14,1969,57.89,81.58,0.00,0.00,18.42,4,100.00,4,100.00,74.21,12.32,0.00,13.47,100.00
2019-03-01,S,78,1973,64.45,15.20,10.65,9.71,53.30,27222,17500,4165,2717,2840,7800,6728,183,1,888,1972,52.00,86.26,2.35,0.01,11.38,76,97.44,78,100.00,64.29,15.30,9.98,10.43,100.00
2020-02-01,C,34,1973,60.58,22.60,10.85,5.97,52.72,11866,7464,2437,669,1296,1054,710,192,55,97,1972,64.52,67.36,18.22,5.22,9.20,25,73.53,33,97.06,62.90,20.54,5.64,10.92,98.33
2005-06-01,V,21,1954,49.30,30.73,17.60,2.39,54.44,7329,3898,1915,333,1183,588,425,46,1,116,1953,53.57,72.28,7.82,0.17,19.73,18,85.71,20,95.24,53.19,26.13,4.54,16.14,97.50
2014-06-01,S,96,1963,64.95,19.04,11.14,4.86,56.45,33504,21557,6826,1514,3607,10752,4369,4493,707,1183,1963,51.79,40.63,41.79,6.58,11.00,46,47.92,96,100.00,64.34,20.37,4.52,10.77,100.00
2013-09-01,MP,7,1963,62.46,18.01,19.52,0.00,55.87,2443,1526,440,0,477,175,60,80,0,35,1964,52.00,34.29,45.71,0.00,20.00,3,42.86,7,100.00,62.46,18.01,0.00,19.53,100.00
2017-06-01,S,79,1969,58.56,22.13,12.59,6.73,53.87,27571,17332,5510,1530,3199,8927,7374,713,0,840,1969,48.67,82.60,7.99,0.00,9.41,72,91.14,79,100.00,62.86,19.98,5.55,11.60,100.00
2024-03-01,KD,53,1975,60.07,15.55,15.86,8.53,53.01,18497,10720,3112,1764,2901,1007,801,0,0,206,1970,73.68,79.54,0.00,0.00,20.46,53,100.00,53,100.00,57.96,16.82,9.54,15.68,100.00
2017-11-01,C,43,1969,59.77,18.87,15.06,6.30,53.87,15007,9181,2948,764,2114,946,400,254,75,217,1967,63.64,42.28,26.85,7.93,22.94,26,60.47,42,97.67,61.18,19.64,5.09,14.09,98.57
2007-12-01,KD,48,1958,55.84,25.23,17.09,1.84,53.01,16752,9052,4209,468,3023,1152,899,0,2,251,1952,54.17,78.04,0.00,0.17,21.79,48,100.00,48,100.00,54.04,25.13,2.79,18.05,100.00
2019-06-01,L,51,1973,65.79,19.17,8.45,6.60,52.72,17799,11280,3450,1660,1409,969,741,53,85,90,1970,57.89,76.47,5.47,8.77,9.29,43,84.31,51,100.00,63.37,19.38,9.33,7.92,100.00
2016-09-01,-,4,1969,75.15,12.39,10.32,2.15,54.15,1396,1049,173,30,144,4,0,0,0,4,1964,0.00,0.00,0.00,0.00,100.00,0,0.00,4,100.00,75.14,12.39,2.15,10.32,100.00
2018-04-01,M,99,1970,60.48,13.09,17.89,8.54,54.44,34551,20935,4878,2801,5937,8217,3670,1899,1412,1236,1968,50.60,44.66,23.11,17.18,15.04,53,53.54,98,98.99,60.59,14.12,8.11,17.18,99.28
2014-11-01,SD,6,1969,75.79,8.25,15.45,0.52,55.30,2094,1533,212,18,331,294,91,177,0,26,1974,75.51,30.95,60.20,0.00,8.84,2,33.33,6,100.00,73.21,10.12,0.86,15.81,100.00
2018-06-01,-,91,1970,63.95,18.28,13.07,4.71,54.32,31759,20622,5582,1539,4016,728,200,120,55,353,1971,62.50,27.47,16.48,7.55,48.49,49,53.85,90,98.90,64.93,17.58,4.85,12.65,99.05
2017-09-01,M,4,1969,74.22,12.33,13.47,0.00,53.58,1396,1036,172,0,188,332,212,78,0,42,1968,49.40,63.86,23.49,0.00,12.65,3,75.00,4,100.00,74.21,12.32,0.00,13.47,100.00
2016-01-01,KD,5,1969,63.87,17.70,11.89,6.56,55.30,1745,1183,206,126,230,80,62,0,16,2,1966,62.50,77.50,0.00,20.00,2.50,4,80.00,5,100.00,67.79,11.81,7.22,13.18,100.00
2017-05-01,S,97,1969,63.97,15.71,13.80,6.52,53.83,33853,21762,5694,1976,4421,10961,9382,402,3,1174,1969,47.92,85.59,3.67,0.03,10.71,93,95.88,97,100.00,64.28,16.82,5.84,13.06,100.00
2012-03-01,-,104,1963,60.67,21.18,13.32,4.84,56.10,36296,22302,7260,1807,4927,104,1,4,17,82,1988,100.00,0.96,3.85,16.35,78.85,1,0.96,101,97.12,61.44,20.00,4.98,13.57,96.99
2004-10-01,V,22,1954,59.90,18.64,16.50,4.97,53.44,7678,4763,1400,280,1235,660,416,94,13,137,1953,50.00,63.03,14.24,1.97,20.76,17,77.27,21,95.45,62.03,18.23,3.65,16.08,97.73
2005-11-01,C,93,1954,56.14,19.15,18.36,6.35,54.14,32457,18538,6137,1908,5874,2046,752,791,166,337,1955,50.77,36.75,38.66,8.11,16.47,42,45.16,93,100.00,57.12,18.91,5.88,18.10,100.00
2005-02-01,V,51,1954,59.62,17.11,17.33,5.94,54.03,17799,10690,2998,1072,3039,1479,906,244,64,265,1954,53.38,61.26,16.50,4.33,17.92,37,72.55,48,94.12,60.06,16.84,6.02,17.07,94.26
2022-05-01,KD,146,1973,53.45,19.95,16.62,9.98,53.26,50954,28288,10290,4045,8331,3212,1652,627,316,617,1970,72.73,51.43,19.52,9.84,19.21,77,52.74,128,87.67,55.52,20.19,7.94,16.35,91.09
2004-01-01,C,28,1954,60.65,18.54,17.49,3.33,54.98,9772,5901,1762,468,1641,616,274,140,39,163,1955,50.70,44.48,22.73,6.33,26.46,16,57.14,28,100.00,60.39,18.03,4.79,16.79,100.00
2004-04-01,KD,83,1954,60.84,16.82,16.32,6.02,54.96,28967,17599,5066,1745,4557,2739,1030,854,378,477,1951,69.70,37.60,31.18,13.80,17.42,42,50.60,81,97.59,60.76,17.49,6.02,15.73,98.33
2020-05-01,KD,61,1973,10.76,3.14,84.31,1.79,51.86,21289,2255,690,391,17953,1342,87,57,39,1159,1969,63.64,6.48,4.25,2.91,86.36,27,44.26,59,96.72,10.59,3.24,1.84,84.33,97.89
2006-02-01,S,84,1954,54.02,22.46,21.13,2.39,54.17,29316,15674,6720,840,6082,12096,9576,325,10,2185,1954,51.39,79.17,2.69,0.08,18.06,74,88.10,77,91.67,53.47,22.92,2.87,20.75,93.38
2020-11-01,C,20,1973,10.98,3.90,84.08,1.04,50.72,6980,766,260,86,5868,620,85,10,5,520,1972,58.06,13.71,1.61,0.81,83.87,17,85.00,20,100.00,10.97,3.72,1.23,84.07,100.00
2021-02-01,KD,47,1973,10.68,3.75,84.24,1.33,52.22,16403,1738,596,259,13810,1034,63,48,30,893,1970,70.46,6.09,4.64,2.90,86.36,20,42.55,46,97.87,10.60,3.63,1.58,84.19,98.08
2020-09-01,MP,5,1973,10.68,4.09,83.95,1.29,50.72,1745,184,84,12,1465,80,9,6,0,65,1978,12.50,11.25,7.50,0.00,81.25,4,80.00,4,80.00,10.54,4.81,0.69,83.95,87.50
2014-03-01,C,102,1963,60.17,19.45,14.18,6.20,56.73,35598,21984,6653,2325,4636,2346,1869,40,20,417,1963,57.61,79.67,1.71,0.85,17.77,99,97.06,102,100.00,61.76,18.69,6.53,13.02,100.00
2021-04-01,SD,117,1973,10.84,2.83,84.08,2.24,53.01,40833,4490,1150,871,34322,7254,560,280,330,6084,1976,72.58,7.72,3.86,4.55,83.87,56,47.86,117,100.00,11.00,2.82,2.13,84.05,100.00
2005-10-01,S,18,1954,52.13,19.67,20.51,7.70,54.68,6282,3262,1266,492,1262,2592,2152,0,2,438,1954,51.39,83.02,0.00,0.08,16.90,18,100.00,18,100.00,51.93,20.15,7.83,20.09,100.00
2013-05-01,M,101,1963,61.84,20.80,11.43,5.93,56.30,35249,22795,6894,1504,4056,10807,9779,197,1,830,1965,57.01,90.49,1.82,0.01,7.68,98,97.03,100,99.01,64.67,19.56,4.27,11.51,93.75
2002-11-01,M,45,1954,62.95,18.29,10.12,8.64,54.73,15705,10049,2857,1143,1656,2475,1086,857,232,300,1954,61.82,43.88,34.63,9.37,12.12,28,62.22,44,97.78,63.99,18.19,7.28,10.54,98.72
2022-03-01,L,129,1973,57.76,16.88,15.66,9.70,53.58,45021,26027,7817,3980,7197,2580,1311,381,215,673,1971,55.00,50.81,14.77,8.33,26.09,86,66.67,125,96.90,57.81,17.36,8.84,15.99,97.13
2023-10-01,-,3,1975,51.10,34.38,14.52,0.00,53.01,1047,535,360,0,152,3,0,0,0,3,1968,0.00,0.00,0.00,0.00,100.00,0,0.00,3,100.00,51.10,34.38,0.00,14.52,100.00
2017-12-01,S,39,1969,59.62,19.45,13.66,7.27,53.87,13611,8188,2427,1044,1952,4407,3564,299,1,543,1969,47.79,80.87,6.78,0.02,12.32,35,89.74,38,97.44,60.16,17.83,7.67,14.34,95.83
