embedded_id_ballot_id,embedded_id_concern,embedded_id_issue,embedded_id_party,avg_born_year,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,approved,party_won,no_winner,percentage_yes,percentage_no,percentage_absent,percentage_abstain,percentage_male,ballot_type,rm,label,vote_date,party_avg_born_year,party_total_votes,party_yes_votes,party_no_votes,party_abstain_votes,party_absent_votes,party_approved,party_no_winner,party_percentage_yes,party_percentage_no,party_percentage_absent,party_percentage_abstain,party_percentage_male
7A44CA35-D9CD-48F7-AC0C-E9ECE74CA975,SAKFRÅGAN,8,L,1973,349,212,72,0,65,t,f,f,60.74,20.63,18.62,0.00,53.30,HUVUD,2021/22,FöU8,2022-03-31,1971,20,0,14,0,6,f,f,0.00,70.00,30.00,0.00,55.00
E601592F-EDBD-4661-BDB4-D8E9882FEF7E,SAKFRÅGAN,3,SD,1975,349,236,63,0,50,t,f,f,67.62,18.05,14.33,0.00,53.01,HUVUD,2023/24,TU7,2024-03-06,1976,72,0,61,0,11,f,f,0.00,84.72,15.28,0.00,73.61
482C2E3A-79FF-497B-88B1-D68EFCB9697B,SAKFRÅGAN,36,MP,1970,349,266,18,0,65,t,t,f,76.22,5.16,18.62,0.00,54.44,HUVUD,2017/18,JuU14,2018-04-19,1969,25,21,0,0,4,t,f,84.00,0.00,16.00,0.00,48.00
5806708C-E408-455D-B5BD-E73E9E4C73F4,SAKFRÅGAN,1,L,1973,349,40,10,5,294,t,t,f,11.46,2.87,84.24,1.43,51.86,HUVUD,2019/20,KU12,2020-06-10,1971,19,3,0,0,16,t,f,15.79,0.00,84.21,0.00,52.63
277D707A-3A0C-45C6-AF88-A1B91337E7B0,SAKFRÅGAN,28,MP,1954,349,153,123,0,73,t,t,f,43.84,35.24,20.92,0.00,53.30,HUVUD,2004/05,KRU2,2004-11-16,1957,17,10,0,0,7,t,f,58.82,0.00,41.18,0.00,47.06
C56A9AC9-E457-4722-8307-E04B505E02BC,SAKFRÅGAN,2,V,1954,349,160,128,0,61,t,t,f,45.85,36.68,17.48,0.00,53.58,HUVUD,2005/06,UbU4,2006-01-26,1953,28,22,0,0,6,t,f,78.57,0.00,21.43,0.00,53.57
2961EB3E-91D3-4167-8B08-E4A8B21BB974,SAKFRÅGAN,5,-,1973,349,51,4,0,294,t,f,f,14.61,1.15,84.24,0.00,53.01,HUVUD,2020/21,KrU4,2021-04-07,1970,2,0,0,0,2,f,t,0.00,0.00,100.00,0.00,0.00
1587AF9B-70E3-4E15-A047-E3221817B485,SAKFRÅGAN,15,SD,1973,349,187,127,0,35,t,t,f,53.58,36.39,10.03,0.00,53.01,HUVUD,2018/19,UbU8,2019-05-02,1976,62,58,0,0,4,t,f,93.55,0.00,6.45,0.00,70.97
BD0FCE65-DAF3-4F34-98C1-8D5374AF6629,SAKFRÅGAN,6,S,1969,349,276,35,0,38,t,t,f,79.08,10.03,10.89,0.00,53.58,HUVUD,2016/17,TU13,2017-04-19,1969,113,103,0,0,10,t,f,91.15,0.00,8.85,0.00,46.90
92B7E217-E596-46B8-85C9-A2A5171FF031,SAKFRÅGAN,5,V,1963,349,186,114,0,49,t,f,f,53.30,32.66,14.04,0.00,56.73,HUVUD,2013/14,AU6,2014-04-02,1961,19,0,17,0,2,f,f,0.00,89.47,10.53,0.00,47.37
