embedded_id_vote_date,embedded_id_party,number_ballots,avg_born_year,avg_percentage_yes,avg_percentage_no,avg_percentage_absent,avg_percentage_abstain,avg_percentage_male,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,party_total_votes,party_yes_votes,party_no_votes,party_abstain_votes,party_absent_votes,party_avg_born_year,party_avg_percentage_male,party_percentage_yes,party_percentage_no,party_percentage_abstain,party_percentage_absent,party_won_total,party_won_percentage,approved_total,approved_percentage,percentage_yes,percentage_no,percentage_abstain,percentage_absent,avg_percentage_approved
2008-06-16,KD,1,1958,40.97,39.54,19.20,0.29,53.30,349,143,138,1,67,24,19,0,0,5,1952,54.17,79.17,0.00,0.00,20.83,1,100.00,1,100.00,40.97,39.54,0.29,19.20,100.00
2022-11-21,M,6,1975,74.26,10.36,14.42,0.96,52.72,2094,1555,217,20,302,408,354,0,0,54,1976,50.00,86.76,0.00,0.00,13.24,6,100.00,6,100.00,74.26,10.36,0.96,14.42,100.00
2019-11-11,C,4,1973,79.42,12.27,8.31,0.00,52.44,1396,1073,207,0,116,124,111,0,0,13,1973,61.29,89.52,0.00,0.00,10.48,4,100.00,4,100.00,76.86,14.83,0.00,8.31,100.00
2009-06-08,C,5,1958,44.92,40.55,12.03,2.51,52.72,1745,782,715,35,213,145,122,1,0,22,1957,58.62,84.14,0.69,0.00,15.17,5,100.00,5,100.00,44.81,40.97,2.01,12.21,100.00
2012-03-19,L,34,1963,66.00,19.87,13.38,0.74,56.08,11866,7776,2280,144,1666,816,646,20,0,150,1960,54.17,79.17,2.45,0.00,18.38,32,94.12,33,97.06,65.53,19.21,1.21,14.04,98.44
2006-04-24,L,25,1954,55.77,14.31,21.12,8.82,53.87,8725,4814,1381,669,1861,1200,426,323,145,306,1956,50.00,35.50,26.92,12.08,25.50,14,56.00,25,100.00,55.17,15.83,7.67,21.33,100.00
2012-05-21,V,35,1963,62.51,20.38,11.95,5.16,57.02,12215,7710,2191,899,1415,665,71,329,243,22,1960,42.11,10.68,49.47,36.54,3.31,4,11.43,35,100.00,63.12,17.94,7.36,11.58,100.00
2011-05-30,L,8,1963,73.52,14.12,12.05,0.31,54.44,2792,1840,600,15,337,192,144,0,0,48,1959,54.17,75.00,0.00,0.00,25.00,8,100.00,8,100.00,65.90,21.49,0.54,12.07,100.00
2016-09-26,MP,4,1969,75.15,12.39,10.32,2.15,54.15,1396,1049,173,30,144,100,96,0,0,4,1968,44.00,96.00,0.00,0.00,4.00,4,100.00,4,100.00,75.14,12.39,2.15,10.32,100.00
2013-04-29,L,12,1963,67.33,21.39,11.10,0.17,56.28,4188,2820,896,7,465,288,235,0,0,53,1960,54.17,81.60,0.00,0.00,18.40,12,100.00,12,100.00,67.34,21.39,0.17,11.10,100.00
2021-11-29,L,10,1973,67.90,19.10,11.94,1.08,53.30,3490,2381,648,45,416,200,102,51,17,30,1971,55.00,51.00,25.50,8.50,15.00,6,60.00,10,100.00,68.22,18.57,1.29,11.92,100.00
2008-03-31,MP,18,1958,54.28,21.36,21.79,2.59,53.30,6282,3354,1359,226,1343,342,106,140,31,65,1964,57.89,30.99,40.94,9.06,19.01,7,38.89,18,100.00,53.39,21.63,3.60,21.38,100.00
2003-02-17,MP,33,1954,69.16,18.58,11.18,1.09,53.90,11517,7909,2180,135,1293,561,360,92,24,85,1954,47.06,64.17,16.40,4.28,15.15,25,75.76,33,100.00,68.67,18.93,1.17,11.23,100.00
2022-01-17,C,7,1973,40.28,24.32,28.94,6.47,53.87,2443,984,594,158,707,217,113,22,19,63,1972,58.06,52.07,10.14,8.76,29.03,7,100.00,6,85.71,40.28,24.31,6.47,28.94,85.71
2003-11-10,C,29,1954,61.63,16.38,15.47,6.53,54.73,10121,6269,1411,661,1780,638,256,149,99,134,1954,54.55,40.13,23.35,15.52,21.00,18,62.07,28,96.55,61.94,13.94,6.53,17.59,87.50
2017-01-09,KD,2,1969,72.78,12.90,14.33,0.00,53.58,698,508,90,0,100,32,32,0,0,0,1968,62.50,100.00,0.00,0.00,0.00,2,100.00,2,100.00,72.78,12.89,0.00,14.33,100.00
