embedded_id_vote_date,embedded_id_intressent_id,first_name,last_name,gender,born_year,party,number_ballots,avg_born_year,avg_percentage_yes,avg_percentage_no,avg_percentage_absent,avg_percentage_abstain,avg_percentage_male,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,party_total_votes,party_yes_votes,party_no_votes,party_abstain_votes,party_absent_votes,party_avg_born_year,party_avg_percentage_male,party_percentage_yes,party_percentage_no,party_percentage_abstain,party_percentage_absent,party_won_total,politician_yes_votes,politician_no_votes,politician_abstain_votes,politician_absent_votes,politician_percentage_yes,politician_percentage_no,politician_percentage_abstain,politician_percentage_absent,won_percentage,won_total,rebel_percentage,rebel_total,party_won_percentage,approved_total,approved_percentage,percentage_yes,percentage_no,percentage_abstain,percentage_absent,avg_percentage_approved
2014-01-01,0496341906327,Alexandra,Völker,KVINNA,1989,S,27,1969,62.08,18.61,11.86,7.45,55.52,9423,5807,1603,779,1234,3051,1889,499,299,364,1968,49.56,61.91,16.36,9.80,11.93,20,14,5,3,5,51.85,18.52,11.11,18.52,51.85,14,0.00,0,74.07,25,92.59,61.63,17.01,8.27,13.10,85.42
2016-01-01,0404025497421,Birgitta,Ohlsson,KVINNA,1975,L,434,1969,63.53,17.53,12.65,6.30,54.60,151466,99271,25182,8622,18391,8246,4476,1787,640,1343,1970,61.28,54.28,21.67,7.76,16.29,287,247,101,34,52,56.91,23.27,7.83,11.98,57.14,248,0.00,0,66.13,433,99.77,65.54,16.63,5.69,12.14,99.82
2010-01-01,0924947945722,Maryam,Yazdanfar,KVINNA,1980,S,285,1960,55.33,27.74,15.56,1.37,53.35,99465,54162,29171,1941,14191,35304,8422,20760,705,5417,1960,52.58,23.86,58.80,2.00,15.34,87,62,169,6,48,21.75,59.30,2.11,16.84,21.40,61,0.35,1,30.53,283,99.30,54.45,29.33,1.95,14.27,99.75
2022-01-01,0974061238314,Paula,Holmqvist,KVINNA,1964,S,689,1973,59.11,17.49,16.66,6.74,53.10,240461,137512,45931,18102,38916,69117,49252,9651,253,9961,1973,48.42,71.26,13.96,0.37,14.41,616,335,78,2,274,48.62,11.32,0.29,39.77,53.41,368,0.00,0,89.40,641,93.03,57.19,19.10,7.53,16.18,94.85
2004-01-01,0542573140300,Ulf,Nilsson,MAN,1945,L,536,1954,58.64,20.14,16.92,4.30,54.40,187064,112148,34681,8987,31248,25728,9424,9636,2379,4289,1956,52.07,36.63,37.45,9.25,16.67,260,217,214,51,54,40.49,39.93,9.51,10.07,42.16,226,0.37,2,48.51,526,98.13,59.95,18.54,4.80,16.70,98.78
2009-01-01,0925968558417,Lennart,Sacrédeus,MAN,1957,KD,357,1959,50.38,29.82,18.16,1.64,52.84,124593,63692,36124,2695,22082,8568,7011,3,5,1549,1954,52.98,81.83,0.04,0.06,18.08,357,269,1,0,87,75.35,0.28,0.00,24.37,75.35,269,0.28,1,100.00,357,100.00,51.12,28.99,2.16,17.72,100.00
2005-01-01,0959102638818,Roger,Tiefensee,MAN,1967,C,375,1954,55.46,21.04,18.66,4.85,54.34,130875,73330,27185,6247,24113,8250,2529,3242,837,1642,1954,55.39,30.65,39.30,10.15,19.90,164,107,151,43,74,28.53,40.27,11.47,19.73,30.93,116,0.27,1,43.73,364,97.07,56.03,20.77,4.77,18.42,97.26
2009-01-01,0743231788202,Rune,Wikström,MAN,1941,M,357,1959,50.38,29.82,18.16,1.64,52.84,124593,63692,36124,2695,22082,34629,29581,0,7,5041,1959,57.92,85.42,0.00,0.02,14.56,357,335,0,0,22,93.84,0.00,0.00,6.16,93.84,335,0.00,0,100.00,357,100.00,51.12,28.99,2.16,17.72,100.00
2006-01-01,0861143074410,Torkild,Strandberg,MAN,1970,L,442,1955,56.01,20.93,19.41,3.66,53.60,154258,84021,33038,6095,31104,19956,7139,7393,1074,4350,1957,48.76,35.77,37.05,5.38,21.80,246,112,110,15,205,25.34,24.89,3.39,46.38,27.60,122,0.45,2,55.66,423,95.70,54.47,21.42,3.95,20.16,95.85
2021-01-01,0992473266516,Larry,Söder,MAN,1969,KD,570,1973,28.55,8.84,60.50,2.11,52.75,198930,31573,10114,3751,153492,12540,1592,668,366,9914,1969,72.27,12.70,5.33,2.92,79.06,288,130,61,31,348,22.81,10.70,5.44,61.05,20.88,119,0.00,0,50.53,543,95.26,15.87,5.08,1.89,77.16,96.74
