embedded_id_vote_date,embedded_id_intressent_id,first_name,last_name,gender,born_year,party,number_ballots,avg_born_year,avg_total_votes,avg_yes_votes,avg_no_votes,avg_abstain_votes,avg_absent_votes,percentage_approved,avg_percentage_yes,avg_percentage_no,avg_percentage_absent,avg_percentage_abstain,avg_percentage_male,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,party_total_votes,party_yes_votes,party_no_votes,party_abstain_votes,party_absent_votes,politician_yes_votes,politician_no_votes,politician_abstain_votes,politician_absent_votes,politician_percentage_yes,politician_percentage_no,politician_percentage_absent,politician_percentage_abstain,party_avg_born_year,party_avg_percentage_male,party_percentage_yes,party_percentage_no,party_percentage_abstain,party_percentage_absent,percentage_yes,percentage_no,percentage_abstain,percentage_absent,party_won_total,party_won_percentage,approved_total,approved_percentage,won_percentage,won_total,rebel_percentage,rebel_total
2020-03-12,0810201628512,Ann-Charlotte,Hammar Johnsson,KVINNA,1966,M,6,1973,349,205.00,39.50,67.33,37.17,100.00,58.74,11.32,10.65,19.29,52.44,2094,1230,237,404,223,420,240,1,119,60,4,0,2,0,66.67,0.00,0.00,33.33,1973,45.71,57.14,0.24,28.33,14.29,58.74,11.32,19.29,10.65,5,83.00,6,100.00,66.00,4,0.00,0
2007-12-06,0468775142013,Christina,Oskarsson,KVINNA,1951,S,8,1958,349,172.75,65.75,32.63,77.88,100.00,49.50,18.84,22.31,9.35,53.01,2792,1382,526,261,623,1040,215,400,175,250,3,4,1,0,37.50,50.00,0.00,12.50,1958,49.23,20.67,38.46,16.83,24.04,49.50,18.84,9.35,22.31,3,37.00,8,100.00,37.00,3,0.00,0
2020-06-10,0204240926023,Markus,Wiechel,MAN,1988,SD,28,1973,349,37.86,12.04,5.11,294.00,100.00,10.85,3.45,84.24,1.46,51.86,9772,1060,337,143,8232,1736,80,140,60,1456,0,0,0,28,0.00,0.00,100.00,0.00,1975,70.97,4.61,8.06,3.46,83.87,10.85,3.45,1.46,84.24,8,28.00,28,100.00,0.00,0,0.00,0
2018-04-19,0105632258713,Boriana,Åberg,KVINNA,1968,M,13,1970,349,210.46,51.85,21.54,65.15,100.00,60.30,14.85,18.66,6.17,54.44,4537,2736,674,280,847,1079,335,334,201,209,5,5,3,0,38.46,38.46,0.00,23.08,1968,50.60,31.05,30.95,18.63,19.37,60.30,14.86,6.17,18.67,5,38.00,13,100.00,38.00,5,0.00,0
2012-04-20,0537400268911,Caroline,Helmersson Olsson,KVINNA,1963,S,4,1963,349,257.75,60.75,0.00,30.50,100.00,73.86,17.41,8.74,0.00,57.02,1396,1031,243,0,122,448,303,101,0,44,3,1,0,0,75.00,25.00,0.00,0.00,1962,51.79,67.63,22.54,0.00,9.82,73.85,17.41,0.00,8.74,3,75.00,4,100.00,75.00,3,0.00,0
2012-02-07,0803753212716,Richard,Jomshof,MAN,1969,SD,1,1963,349,280.00,19.00,19.00,31.00,100.00,80.23,5.44,8.88,5.44,55.30,349,280,19,19,31,19,0,0,18,1,0,0,1,0,0.00,0.00,0.00,100.00,1969,84.21,0.00,0.00,94.74,5.26,80.23,5.44,5.44,8.88,0,0.00,1,100.00,0.00,0,0.00,0
2013-10-24,0182190010218,Esabelle,Dingizian,KVINNA,1962,MP,3,1963,349,169.00,137.00,0.00,43.00,66.67,48.42,39.26,12.32,0.00,55.59,1047,507,411,0,129,75,24,44,0,7,1,2,0,0,33.33,66.67,0.00,0.00,1964,52.00,32.00,58.67,0.00,9.33,48.42,39.26,0.00,12.32,0,0.00,2,66.00,0.00,0,0.00,0
2003-02-13,09812885803,Jan,Ertsborn,MAN,1944,L,13,1954,349,208.85,76.62,25.00,38.54,92.31,59.84,21.95,11.04,7.16,53.87,4537,2715,996,325,501,624,132,306,128,58,3,7,3,0,23.08,53.85,0.00,23.08,1956,47.92,21.15,49.04,20.51,9.29,59.84,21.95,7.16,11.04,6,46.00,12,92.00,30.00,4,0.00,0
2011-11-15,083921164513,Abdirizak,Waberi,MAN,1966,M,5,1963,349,154.60,90.00,51.00,53.40,100.00,44.30,25.79,15.30,14.61,54.73,1745,773,450,255,267,535,479,0,2,54,3,0,0,2,60.00,0.00,40.00,0.00,1964,54.21,89.53,0.00,0.37,10.09,44.30,25.79,14.61,15.30,5,100.00,5,100.00,60.00,3,0.00,0
2013-05-16,0150664940102,Eva,Lohman,KVINNA,1948,M,2,1963,349,183.50,60.00,78.50,27.00,100.00,52.58,17.20,7.74,22.49,56.16,698,367,120,157,54,214,203,0,0,11,2,0,0,0,100.00,0.00,0.00,0.00,1965,57.01,94.86,0.00,0.00,5.14,52.58,17.19,22.49,7.74,2,100.00,2,100.00,100.00,2,0.00,0
