embedded_id_vote_date,embedded_id_intressent_id,first_name,last_name,gender,born_year,party,number_ballots,avg_born_year,avg_percentage_yes,avg_percentage_no,avg_percentage_absent,avg_percentage_abstain,avg_percentage_male,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,party_total_votes,party_yes_votes,party_no_votes,party_abstain_votes,party_absent_votes,party_avg_born_year,party_avg_percentage_male,party_percentage_yes,party_percentage_no,party_percentage_abstain,party_percentage_absent,party_won_total,politician_yes_votes,politician_no_votes,politician_abstain_votes,politician_absent_votes,politician_percentage_yes,politician_percentage_no,politician_percentage_abstain,politician_percentage_absent,won_percentage,won_total,rebel_percentage,rebel_total,party_won_percentage,approved_total,approved_percentage,percentage_yes,percentage_no,percentage_abstain,percentage_absent,avg_percentage_approved
2010-04-01,0878075468027,Hillevi,Larsson,KVINNA,1974,S,24,1959,55.08,26.81,17.50,0.61,53.01,8376,4452,2328,77,1519,3120,842,1698,2,578,1959,52.31,26.99,54.42,0.06,18.53,8,7,11,0,6,29.17,45.83,0.00,25.00,29.17,7,0.00,0,33.33,24,100.00,53.15,27.79,0.92,18.14,100.00
2006-06-01,0229825314217,Sermin,Özürküt,KVINNA,1949,V,1,1954,38.68,39.83,21.49,0.00,53.30,349,135,139,0,75,28,21,0,0,7,1953,53.57,75.00,0.00,0.00,25.00,0,1,0,0,0,100.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,38.68,39.83,0.00,21.49,0.00
2020-05-01,0899169869710,Helena,Gellerman,KVINNA,1960,L,61,1973,10.76,3.14,84.31,1.79,51.86,21289,2255,690,391,17953,1159,138,24,21,976,1971,52.63,11.91,2.07,1.81,84.21,45,0,0,0,61,0.00,0.00,0.00,100.00,0.00,0,0.00,0,73.77,59,96.72,10.59,3.24,1.84,84.33,97.89
2024-10-01,0456680171315,Charlotte,Quensel,KVINNA,1961,SD,16,1975,67.57,13.13,16.84,2.47,54.44,5584,3773,733,138,940,1152,992,0,0,160,1976,76.39,86.11,0.00,0.00,13.89,16,16,0,0,0,100.00,0.00,0.00,0.00,100.00,16,0.00,0,100.00,16,100.00,67.57,13.13,2.47,16.83,100.00
2006-12-01,0880452278816,Mikaela,Valtersson,KVINNA,1967,MP,47,1958,57.67,22.36,16.03,3.96,52.72,16403,8799,4275,771,2558,893,226,263,194,210,1964,52.63,25.31,29.45,21.72,23.52,19,12,14,10,11,25.53,29.79,21.28,23.40,25.53,12,0.00,0,40.43,47,100.00,53.64,26.06,4.70,15.59,100.00
2022-06-01,0996640018922,Yasmine,Bladelius,KVINNA,1988,S,164,1973,58.54,20.36,14.81,6.29,52.63,57236,34066,11570,3425,8175,16400,11835,2584,82,1899,1973,47.67,72.16,15.76,0.50,11.58,146,134,29,1,0,81.71,17.68,0.61,0.00,88.41,145,0.00,0,89.02,151,92.07,59.52,20.21,5.98,14.28,90.53
2013-04-01,069309987221,Johan,Hultberg,MAN,1985,M,71,1963,66.89,20.33,10.75,2.04,56.42,24779,16114,5146,782,2737,7597,6968,0,0,629,1965,57.01,91.72,0.00,0.00,8.28,70,63,0,0,8,88.73,0.00,0.00,11.27,87.32,62,0.00,0,98.59,70,98.59,65.03,20.77,3.16,11.05,98.81
2019-12-01,0810201628512,Ann-Charlotte,Hammar Johnsson,KVINNA,1966,M,22,1973,63.37,16.96,8.18,11.49,52.53,7678,4741,1221,1142,574,1540,390,442,578,130,1972,44.29,25.32,28.70,37.53,8.44,8,6,7,9,0,27.27,31.82,40.91,0.00,27.27,6,0.00,0,36.36,22,100.00,61.75,15.90,14.87,7.48,100.00
2016-03-01,0264838147315,Catharina,Bråkenhielm,KVINNA,1956,S,88,1969,65.20,18.14,12.92,3.74,55.11,30712,20325,5297,1218,3872,9944,8534,191,6,1213,1968,51.33,85.82,1.92,0.06,12.20,86,0,0,0,88,0.00,0.00,0.00,100.00,0.00,0,0.00,0,97.73,88,100.00,66.18,17.25,3.97,12.61,100.00
2021-10-01,0364687971222,Alireza,Akhondi,MAN,1980,C,7,1973,56.59,27.72,13.04,2.65,52.53,2443,1439,607,93,304,217,196,0,0,21,1972,58.06,90.32,0.00,0.00,9.68,7,7,0,0,0,100.00,0.00,0.00,0.00,100.00,7,0.00,0,100.00,7,100.00,58.90,24.85,3.81,12.44,100.00
2002-11-01,0479638936816,Rolf,Lindén,MAN,1957,S,45,1954,62.95,18.29,10.12,8.64,54.73,15705,10049,2857,1143,1656,6480,5957,3,7,513,1954,52.08,91.93,0.05,0.11,7.92,44,45,0,0,0,100.00,0.00,0.00,0.00,97.78,44,0.00,0,97.78,44,97.78,63.99,18.19,7.28,10.54,98.72
2012-12-01,0460690753617,Pia,Nilsson,KVINNA,1962,S,61,1963,57.64,24.57,6.34,11.46,57.02,21289,13531,4764,1538,1456,6832,2306,3071,906,549,1962,50.89,33.75,44.95,13.26,8.04,26,22,30,9,0,36.07,49.18,14.75,0.00,36.07,22,0.00,0,42.62,61,100.00,63.56,22.38,7.22,6.84,100.00
2017-02-01,0496341906327,Alexandra,Völker,KVINNA,1989,S,15,1969,65.73,12.89,15.09,6.29,54.06,5235,3035,855,544,801,1695,1447,0,5,243,1968,48.67,85.37,0.00,0.29,14.34,15,15,0,0,0,100.00,0.00,0.00,0.00,100.00,15,0.00,0,100.00,15,100.00,57.98,16.33,10.39,15.30,100.00
2018-02-01,065701062615,Runar,Filper,MAN,1964,SD,28,1969,64.02,16.83,15.81,3.33,54.44,9772,6270,1635,277,1590,1260,463,424,189,184,1974,77.78,36.75,33.65,15.00,14.60,15,12,11,5,0,42.86,39.29,17.86,0.00,46.43,13,0.00,0,53.57,27,96.43,64.16,16.73,2.83,16.27,97.22
2013-05-01,0548314774911,Veronica,Palm,KVINNA,1973,S,101,1963,61.84,20.80,11.43,5.93,56.30,35249,22795,6894,1504,4056,11312,5017,4149,766,1380,1962,51.79,44.35,36.68,6.77,12.20,53,47,36,7,11,46.53,35.64,6.93,10.89,47.52,48,0.00,0,52.48,100,99.01,64.67,19.56,4.27,11.51,93.75
2003-09-01,0575413157004,Ingvar,Svensson,MAN,1944,KD,9,1954,54.04,27.44,18.53,0.00,55.30,3141,1703,881,0,557,297,0,255,0,42,1951,69.70,0.00,85.86,0.00,14.14,1,0,9,0,0,0.00,100.00,0.00,0.00,11.11,1,0.00,0,11.11,8,88.89,54.22,28.05,0.00,17.73,83.34
2006-02-01,0288805051019,Lars,Johansson,MAN,1950,S,84,1954,54.02,22.46,21.13,2.39,54.17,29316,15674,6720,840,6082,12096,9576,325,10,2185,1954,51.39,79.17,2.69,0.08,18.06,74,65,3,0,16,77.38,3.57,0.00,19.05,70.24,59,0.00,0,88.10,77,91.67,53.47,22.92,2.87,20.75,93.38
2005-02-01,0682674527208,Anita,Jönsson,KVINNA,1947,S,51,1954,59.62,17.11,17.33,5.94,54.03,17799,10690,2998,1072,3039,7344,6237,1,5,1101,1954,51.46,84.93,0.01,0.07,14.99,48,43,0,0,8,84.31,0.00,0.00,15.69,78.43,40,0.00,0,94.12,48,94.12,60.06,16.84,6.02,17.07,94.26
2019-10-01,0679228585116,Per,Åsling,MAN,1957,C,13,1973,64.71,16.82,11.05,7.43,52.72,4537,2907,776,351,503,403,351,0,0,52,1973,61.29,87.10,0.00,0.00,12.90,13,13,0,0,0,100.00,0.00,0.00,0.00,100.00,13,0.00,0,100.00,13,100.00,64.07,17.10,7.74,11.09,100.00
2007-04-01,0262455192724,Max,Andersson,MAN,1973,MP,32,1958,55.19,21.12,21.85,1.84,51.49,11168,6152,2477,233,2306,608,136,269,45,158,1964,52.63,22.37,44.24,7.40,25.99,10,8,18,3,3,25.00,56.25,9.38,9.38,25.00,8,0.00,0,31.25,32,100.00,55.09,22.18,2.09,20.65,100.00
