embedded_id_ballot_id,embedded_id_intressent_id,embedded_id_concern,embedded_id_issue,party,first_name,last_name,gender,born_year,avg_born_year,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,approved,vote,won,rebel,party_won,no_winner,percentage_yes,percentage_no,percentage_absent,percentage_abstain,percentage_male,ballot_type,rm,label,vote_date,party_avg_born_year,party_total_votes,party_yes_votes,party_no_votes,party_abstain_votes,party_absent_votes,party_approved,party_no_winner,party_percentage_yes,party_percentage_no,party_percentage_absent,party_percentage_abstain,party_percentage_male
67CEED4C-AB96-4107-8FD4-9A338BC9BE56,0802606848923,SAKFRÅGAN,10,S,Mariya,Voyvodova,KVINNA,1978,1975,349,138,92,63,56,t,NEJ,f,f,f,f,39.54,26.36,16.05,18.05,53.01,HUVUD,2023/24,TU9,2024-03-20,1975,106,0,91,0,15,f,f,0.00,85.85,14.15,0.00,50.00
C17FD3A1-FF03-49C5-BA93-A4903CA22B92,014744660015,SAKFRÅGAN,26,S,Mikael,Damberg,MAN,1971,1975,349,170,126,0,53,t,NEJ,f,f,f,f,48.71,36.10,15.19,0.00,53.01,HUVUD,2023/24,MJU17,2024-06-12,1975,106,0,91,0,15,f,f,0.00,85.85,14.15,0.00,50.00
3241E663-7AA7-4A3B-8A01-85D545550D19,0203334943718,SAKFRÅGAN,19,S,Louise,Malmström,KVINNA,1972,1954,349,148,113,0,88,t,FRÅNVARANDE,f,f,t,f,42.41,32.38,25.21,0.00,54.44,HUVUD,2005/06,JuU14,2006-03-14,1954,144,115,0,0,29,t,f,79.86,0.00,20.14,0.00,51.39
026043B0-B0EA-47FA-BEB2-B9AA74D9AFF5,0860364634014,SAKFRÅGAN,3,S,Mattias,Ottosson,MAN,1971,1975,349,191,107,0,51,t,NEJ,f,f,f,f,54.73,30.66,14.61,0.00,53.01,HUVUD,2023/24,KU2,2023-10-25,1975,107,0,94,0,13,f,f,0.00,87.85,12.15,0.00,48.60
914F6694-4744-4015-A0DA-6CAB80B326E0,0108109641223,SAKFRÅGAN,1,M,Carl-Oskar,Bohlin,MAN,1986,1969,349,262,42,0,45,t,JA,t,f,t,f,75.07,12.03,12.89,0.00,53.87,HUVUD,2016/17,SfU8,2017-02-01,1968,84,72,0,0,12,t,f,85.71,0.00,14.29,0.00,48.81
18BBF5B4-A4AB-4C26-9D69-AA2081035939,025967059622,SAKFRÅGAN,19,S,Magnus,Manhammar,MAN,1980,1969,349,184,124,0,41,t,JA,t,f,t,f,52.72,35.53,11.75,0.00,53.87,HUVUD,2017/18,JuU1,2017-12-06,1969,113,102,0,0,11,t,f,90.27,0.00,9.73,0.00,47.79
A63359AB-FA56-4BEF-B7D2-EC6C95946616,0985943148917,SAKFRÅGAN,11,SD,Victoria,Tiblom,KVINNA,1969,1975,349,102,93,106,48,t,AVSTÅR,f,f,f,f,29.23,26.65,13.75,30.37,52.15,HUVUD,2022/23,SfU16,2023-05-04,1977,72,0,0,63,9,f,t,0.00,0.00,12.50,87.50,73.61
D7D2F095-C8A0-4A4B-9594-CF548E421777,0225823431305,SAKFRÅGAN,5,M,Stefan,Hagfeldt,MAN,1944,1954,349,144,110,33,62,t,NEJ,f,f,f,f,41.26,31.52,17.77,9.46,54.73,HUVUD,2004/05,LU27,2005-05-12,1954,55,0,46,0,9,f,f,0.00,83.64,16.36,0.00,58.18
D78A2B9A-2204-47B2-B51C-1313C3193497,0117613859601,SAKFRÅGAN,1,L,Erling,Bager,MAN,1946,1954,349,167,49,89,44,t,AVSTÅR,f,f,f,f,47.85,14.04,12.61,25.50,54.73,HUVUD,2003/04,SKU9,2003-12-02,1956,48,0,0,41,7,f,t,0.00,0.00,14.58,85.42,50.00
785F3CA0-657A-4BCE-BFEC-8294A99ECC53,0452755722723,SAKFRÅGAN,2,SD,Björn,Söder,MAN,1976,1969,349,133,114,40,62,t,FRÅNVARANDE,f,f,f,f,38.11,32.66,17.77,11.46,55.01,HUVUD,2014/15,TU6,2015-03-05,1974,49,0,0,40,9,f,t,0.00,0.00,18.37,81.63,73.47
5C1DE677-EA1B-4F6F-A7AC-51A5A1220523,0121939297619,SAKFRÅGAN,19,S,Jamal,El-Haj,MAN,1960,1970,349,189,19,92,49,t,JA,t,f,t,f,54.15,5.44,14.04,26.36,54.44,HUVUD,2017/18,NU19,2018-06-07,1969,113,96,0,0,17,t,f,84.96,0.00,15.04,0.00,49.56
D2EA9775-EC84-4340-9478-20B012C7A8B0,0442629549320,SAKFRÅGAN,2,S,Adnan,Dibrani,MAN,1985,1970,349,255,36,1,57,t,JA,t,f,t,f,73.07,10.32,16.33,0.29,54.44,HUVUD,2017/18,UbU22,2018-04-18,1969,113,96,0,0,17,t,f,84.96,0.00,15.04,0.00,48.67
E0E147DC-BCD9-443D-91E1-B20BA8D3E5E2,0781623040415,SAKFRÅGAN,2,M,Camilla,Waltersson Grönvall,KVINNA,1969,1970,349,170,70,51,58,t,FRÅNVARANDE,f,f,f,f,48.71,20.06,16.62,14.61,54.44,HUVUD,2017/18,FiU22,2018-03-21,1968,83,0,70,0,13,f,f,0.00,84.34,15.66,0.00,50.60
73A8D6CF-E1FD-4D34-8955-7BE79902A7FF,0485476395125,SAKFRÅGAN,29,M,Christian,Holm,MAN,1976,1969,349,241,19,38,51,t,JA,t,f,t,f,69.05,5.44,14.61,10.89,55.30,HUVUD,2014/15,SoU7,2015-04-16,1968,84,74,0,0,10,t,f,88.10,0.00,11.90,0.00,51.19
4D4AD907-5B99-4A17-8C40-90B9234D050C,0878075468027,SAKFRÅGAN,1,S,Hillevi,Larsson,KVINNA,1974,1969,349,173,117,2,57,t,JA,t,f,t,f,49.57,33.52,16.33,0.57,53.30,HUVUD,2016/17,NU14,2017-03-29,1969,113,93,0,1,19,t,f,82.30,0.00,16.81,0.88,46.02
2815DBF8-E41D-4533-92EB-F1670FBA8A11,0590042760718,SAKFRÅGAN,2,M,Annicka,Engblom,KVINNA,1967,1969,349,176,76,55,42,t,NEJ,f,f,f,f,50.43,21.78,12.03,15.76,54.15,HUVUD,2016/17,SfU23,2017-05-31,1968,83,0,76,0,7,f,f,0.00,91.57,8.43,0.00,50.60
C9F9C7F7-4413-46EC-8A7C-FFC86ACF317E,0652944607906,SAKFRÅGAN,23,M,Cristina,Husmark Pehrsson,KVINNA,1947,1963,349,269,19,15,46,t,FRÅNVARANDE,f,f,t,f,77.08,5.44,13.18,4.30,56.73,HUVUD,2012/13,MJU11,2013-03-12,1965,107,96,0,0,11,t,f,89.72,0.00,10.28,0.00,57.94
ADAB8284-F305-49DB-8DDB-C795EF07242D,0495218011521,SAKFRÅGAN,5,C,Johanna,Jönsson,KVINNA,1982,1973,349,41,11,4,293,t,FRÅNVARANDE,f,f,t,f,11.75,3.15,83.95,1.15,53.01,HUVUD,2020/21,MJU14,2021-04-21,1973,31,5,0,0,26,t,f,16.13,0.00,83.87,0.00,61.29
38C9775A-D713-4E10-9E46-3885AFF269F9,0903307301618,SAKFRÅGAN,3,S,Peter,Persson,MAN,1955,1963,349,180,108,0,61,t,NEJ,f,f,f,f,51.58,30.95,17.48,0.00,56.73,HUVUD,2013/14,JuU31,2014-04-03,1963,112,0,92,0,20,f,f,0.00,82.14,17.86,0.00,51.79
126192FC-FA85-4C21-894E-9353B4FB05B7,0658668232410,SAKFRÅGAN,11,M,Per,Bill,MAN,1958,1963,349,291,19,0,39,t,JA,t,f,t,f,83.38,5.44,11.17,0.00,56.16,HUVUD,2012/13,JuU22,2013-05-17,1965,107,98,0,0,9,t,f,91.59,0.00,8.41,0.00,57.01
D592C6B1-53D0-4C40-AE31-72EFAA90E0B0,0468206532916,SAKFRÅGAN,1,S,Inger,Segelström,KVINNA,1952,1954,349,244,35,2,68,t,FRÅNVARANDE,f,f,t,f,69.91,10.03,19.48,0.57,55.30,HUVUD,2003/04,JUU3,2003-10-16,1954,144,121,0,0,23,t,f,84.03,0.00,15.97,0.00,52.08
C923D111-9362-11D8-AE21-0004755038E0,0390912778804,MOTIVFRÅGAN,8,KD,Peter,Althin,MAN,1941,1954,349,152,27,144,26,t,AVSTÅR,f,f,f,f,43.55,7.74,7.45,41.26,55.01,HUVUD,2003/04,SFU15,2004-04-20,1951,33,0,1,30,2,f,f,0.00,3.03,6.06,90.91,69.70
E9AB2620-32AF-4695-961C-7F6937930B79,0538404901718,SAKFRÅGAN,25,M,Malin,Löfsjögård,KVINNA,1972,1963,349,190,19,105,35,t,JA,t,f,t,f,54.44,5.44,10.03,30.09,55.59,HUVUD,2011/12,SfU1,2011-12-05,1964,107,103,0,0,4,t,f,96.26,0.00,3.74,0.00,56.07
9B76A888-1EB5-4525-A92F-802E86381B9C,0793372891224,SAKFRÅGAN,1,M,Noria,Manouchi,KVINNA,1991,1975,349,164,13,114,58,t,JA,t,f,t,f,46.99,3.72,16.62,32.66,52.72,HUVUD,2023/24,FöU3,2024-05-02,1976,68,60,0,0,8,t,f,88.24,0.00,11.76,0.00,50.00
2B942E4A-1B52-11D8-AF24-00047553005B,0229002789006,SAKFRÅGAN,5,S,Reynoldh,Furustrand,MAN,1942,1954,349,173,44,99,33,t,JA,t,f,t,f,49.57,12.61,9.46,28.37,54.73,HUVUD,2003/04,BOU1,2003-11-20,1954,144,133,0,2,9,t,f,92.36,0.00,6.25,1.39,52.78
56A75E3C-F8CC-4383-963E-6884920A90B6,0256404677510,SAKFRÅGAN,2,KD,Cecilia,Engström,KVINNA,1972,1975,349,153,129,21,46,t,JA,t,f,t,f,43.84,36.96,13.18,6.02,53.30,HUVUD,2023/24,TU18,2024-06-18,1970,19,16,0,0,3,t,f,84.21,0.00,15.79,0.00,73.68
B770F024-3AA6-4BEB-8173-892FA087E389,010643534813,SAKFRÅGAN,8,SD,Eric,Westroth,MAN,1971,1973,349,141,20,87,101,t,AVSTÅR,f,f,f,f,40.40,5.73,28.94,24.93,53.87,HUVUD,2021/22,NU4,2022-01-19,1975,62,0,0,44,18,f,t,0.00,0.00,29.03,70.97,75.81
C1ABA59C-1266-4A30-9B05-BABD4E8F6FBB,0860429409414,SAKFRÅGAN,2,KD,Désirée,Pethrus,KVINNA,1959,1969,349,296,15,0,38,t,JA,t,f,t,f,84.81,4.30,10.89,0.00,55.30,HUVUD,2015/16,JuU25,2016-03-02,1966,16,13,0,0,3,t,f,81.25,0.00,18.75,0.00,62.50
E110CD9E-6F1D-4EC9-A560-F551F2F9B9B6,069309987221,SAKFRÅGAN,3,M,Johan,Hultberg,MAN,1985,1969,349,167,18,132,32,t,AVSTÅR,f,f,f,f,47.85,5.16,9.17,37.82,53.87,HUVUD,2016/17,UU10,2017-06-14,1968,83,0,0,77,6,f,t,0.00,0.00,7.23,92.77,50.60
5DFFC315-96A4-44E1-B4E9-D4D8512340A5,0584506101017,SAKFRÅGAN,20,M,Magnus,Stuart,MAN,1952,1973,349,41,5,10,293,t,FRÅNVARANDE,f,f,t,f,11.75,1.43,83.95,2.87,53.01,HUVUD,2020/21,SoU24,2021-06-15,1973,70,11,0,0,59,t,f,15.71,0.00,84.29,0.00,45.71
