embedded_id_vote_date,embedded_id_intressent_id,first_name,last_name,gender,born_year,party,number_ballots,avg_born_year,avg_percentage_yes,avg_percentage_no,avg_percentage_absent,avg_percentage_abstain,avg_percentage_male,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,party_total_votes,party_yes_votes,party_no_votes,party_abstain_votes,party_absent_votes,party_avg_born_year,party_avg_percentage_male,party_percentage_yes,party_percentage_no,party_percentage_abstain,party_percentage_absent,party_won_total,politician_yes_votes,politician_no_votes,politician_abstain_votes,politician_absent_votes,politician_percentage_yes,politician_percentage_no,politician_percentage_abstain,politician_percentage_absent,won_percentage,won_total,rebel_percentage,rebel_total,party_won_percentage,approved_total,approved_percentage,percentage_yes,percentage_no,percentage_abstain,percentage_absent,avg_percentage_approved
2010-03-01,0862868280923,Annie,Johansson,KVINNA,1983,C,9,1959,45.82,34.08,19.68,0.43,53.01,3141,1483,933,20,705,261,188,0,0,73,1957,58.62,72.03,0.00,0.00,27.97,9,7,0,0,2,77.78,0.00,0.00,22.22,77.78,7,0.00,0,100.00,9,100.00,47.21,29.70,0.64,22.45,100.00
2013-01-14,0831636664429,Mattias,Karlsson,MAN,1977,SD,4,1963,63.76,21.42,10.81,4.01,57.02,1396,890,299,56,151,80,0,57,19,4,1969,85.00,0.00,71.25,23.75,5.00,1,0,3,1,0,0.00,75.00,25.00,0.00,25.00,1,0.00,0,25.00,3,75.00,63.75,21.42,4.01,10.82,75.00
2021-05-31,0538387395826,Mats,Green,MAN,1979,M,29,1973,9.79,4.17,83.96,2.09,53.01,10121,1007,391,225,8498,2030,165,99,55,1711,1973,45.71,8.13,4.88,2.71,84.29,14,0,0,0,29,0.00,0.00,0.00,100.00,0.00,0,0.00,0,48.28,26,89.66,9.95,3.86,2.22,83.96,86.37
2017-06-12,0878075468027,Hillevi,Larsson,KVINNA,1974,S,24,1969,62.31,19.73,12.48,5.50,53.87,8376,5213,1671,403,1089,2712,2057,402,0,253,1969,48.67,75.85,14.82,0.00,9.33,20,20,4,0,0,83.33,16.67,0.00,0.00,83.33,20,0.00,0,83.33,24,100.00,62.24,19.95,4.81,13.00,100.00
2021-03-22,0685749336810,Dag,Larsson,MAN,1960,S,24,1973,11.18,3.40,83.99,1.43,52.72,8376,936,285,120,7035,2400,353,31,0,2016,1972,50.00,14.71,1.29,0.00,84.00,22,0,0,0,24,0.00,0.00,0.00,100.00,0.00,0,0.00,0,91.67,24,100.00,11.17,3.40,1.43,83.99,100.00
2003-03-31,061124537800,Birgitta,Ahlqvist,KVINNA,1948,S,12,1954,60.28,13.42,20.60,5.72,54.44,4188,2408,680,249,851,1728,1422,0,0,306,1954,52.78,82.29,0.00,0.00,17.71,12,12,0,0,0,100.00,0.00,0.00,0.00,100.00,12,0.00,0,100.00,12,100.00,57.50,16.24,5.95,20.32,100.00
2003-05-19,0681085425612,Per,Rosengren,MAN,1951,V,33,1954,60.61,18.79,14.44,6.16,55.01,11517,6969,2050,669,1829,990,718,51,46,175,1953,50.00,72.53,5.15,4.65,17.68,30,29,2,2,0,87.88,6.06,6.06,0.00,87.88,29,0.00,0,90.91,33,100.00,60.51,17.80,5.81,15.88,100.00
2003-05-05,0185503778507,Birgitta,Sellén,KVINNA,1945,C,7,1954,69.32,13.01,17.03,0.65,55.30,2443,1588,420,27,408,154,106,16,0,32,1954,54.55,68.83,10.39,0.00,20.78,6,6,1,0,0,85.71,14.29,0.00,0.00,85.71,6,0.00,0,85.71,7,100.00,65.00,17.19,1.11,16.70,100.00
2007-12-31,0631251014601,Mildred,Thulin,KVINNA,1941,C,5,1958,44.99,36.05,18.05,0.92,53.30,1745,785,629,16,315,145,117,0,0,28,1956,58.62,80.69,0.00,0.00,19.31,5,5,0,0,0,100.00,0.00,0.00,0.00,100.00,5,0.00,0,100.00,5,100.00,44.99,36.05,0.92,18.05,100.00
2008-03-17,0714307225418,Sven-Erik,Österberg,MAN,1955,S,13,1958,65.18,16.96,15.20,2.67,53.22,4537,2516,1076,194,751,1690,429,846,94,321,1958,52.10,25.38,50.06,5.56,18.99,5,3,8,1,1,23.08,61.54,7.69,7.69,23.08,3,0.00,0,38.46,13,100.00,55.46,23.72,4.28,16.55,100.00
