vote_date,number_ballots,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,approved_ballots,avg_born_year,avg_percentage_male,avg_yes_votes,avg_no_votes,avg_abstain_votes,avg_absent_votes,avg_percentage_yes,avg_percentage_no,avg_percentage_absent,avg_percentage_abstain,percentage_yes,percentage_no,percentage_abstain,percentage_absent,percentage_approved
2008-11-03,3,1047,594,275,13,165,3,1958,53.30,198.00,91.67,4.33,55.00,56.73,26.27,15.76,1.24,56.73,26.27,1.24,15.76,100.00
2007-03-23,3,1047,683,191,0,173,3,1958,51.48,227.67,63.67,0.00,57.67,65.24,18.24,16.52,0.00,65.23,18.24,0.00,16.52,100.00
2006-05-04,12,4188,2436,913,20,819,12,1954,53.87,203.00,76.08,1.67,68.25,58.17,21.80,19.56,0.48,58.17,21.80,0.48,19.56,100.00
2017-04-27,8,2792,1525,424,225,618,8,1969,53.87,190.63,53.00,28.13,77.25,54.62,15.19,22.13,8.06,54.62,15.19,8.06,22.13,100.00
2007-03-19,4,1396,788,311,19,278,4,1958,51.29,197.00,77.75,4.75,69.50,56.45,22.28,19.92,1.36,56.45,22.28,1.36,19.91,100.00
2013-02-21,10,3490,2106,851,20,513,10,1963,56.67,210.60,85.10,2.00,51.30,60.35,24.38,14.70,0.57,60.34,24.38,0.57,14.70,100.00
2012-05-09,8,2792,1695,797,19,281,8,1963,57.02,211.88,99.63,2.38,35.13,60.71,28.54,10.07,0.68,60.71,28.55,0.68,10.06,100.00
2006-02-16,17,5933,3138,1564,9,1222,15,1954,54.20,184.59,92.00,0.53,71.88,52.89,26.36,20.60,0.15,52.89,26.36,0.15,20.60,88.24
2022-04-28,18,6282,3371,1287,469,1155,17,1973,53.01,187.28,71.50,26.06,64.17,53.66,20.49,18.39,7.47,53.66,20.49,7.47,18.39,94.44
2008-05-07,2,698,306,259,35,98,2,1958,53.30,153.00,129.50,17.50,49.00,43.84,37.11,14.04,5.02,43.84,37.11,5.01,14.04,100.00
2011-11-17,12,4188,2149,1012,344,683,12,1963,54.73,179.08,84.33,28.67,56.92,51.31,24.17,16.31,8.22,51.31,24.16,8.21,16.31,100.00
2005-05-19,11,3839,2059,1028,84,668,11,1954,54.44,187.18,93.45,7.64,60.73,53.63,26.78,17.40,2.19,53.63,26.78,2.19,17.40,100.00
2002-11-21,3,1047,657,84,214,92,3,1954,54.73,219.00,28.00,71.33,30.67,62.75,8.02,8.79,20.44,62.75,8.02,20.44,8.79,100.00
2008-02-13,4,1396,827,347,0,222,4,1958,52.44,206.75,86.75,0.00,55.50,59.24,24.86,15.90,0.00,59.24,24.86,0.00,15.90,100.00
2006-03-14,13,4537,2443,848,207,1039,13,1954,54.44,187.92,65.23,15.92,79.92,53.85,18.69,22.90,4.56,53.85,18.69,4.56,22.90,100.00
2024-04-10,13,4537,2425,895,563,654,13,1975,52.44,186.54,68.85,43.31,50.31,53.45,19.73,14.42,12.41,53.45,19.73,12.41,14.41,100.00
2022-02-17,23,8027,4126,1906,686,1309,23,1973,53.58,179.39,82.87,29.83,56.91,51.40,23.75,16.31,8.55,51.40,23.74,8.55,16.31,100.00
2015-11-25,4,1396,948,222,48,178,4,1969,55.01,237.00,55.50,12.00,44.50,67.91,15.90,12.75,3.44,67.91,15.90,3.44,12.75,100.00
2006-01-26,11,3839,2219,810,153,657,11,1954,53.58,201.73,73.64,13.91,59.73,57.80,21.10,17.12,3.99,57.80,21.10,3.99,17.11,100.00
2005-05-26,7,2443,1764,322,0,357,7,1954,54.44,252.00,46.00,0.00,51.00,72.20,13.18,14.61,0.00,72.21,13.18,0.00,14.61,100.00
2016-12-15,7,2443,1458,376,432,177,7,1969,54.44,208.29,53.71,61.71,25.29,59.68,15.39,7.24,17.68,59.68,15.39,17.68,7.25,100.00
2009-11-03,1,349,134,128,0,87,1,1958,54.15,134.00,128.00,0.00,87.00,38.40,36.68,24.93,0.00,38.40,36.68,0.00,24.93,100.00
2022-04-20,27,9423,5206,1927,1099,1191,27,1973,53.01,192.81,71.37,40.70,44.11,55.25,20.45,12.64,11.66,55.25,20.45,11.66,12.64,100.00
2004-03-02,27,9423,5485,1490,587,1861,25,1954,54.77,203.15,55.19,21.74,68.93,58.21,15.81,19.75,6.23,58.21,15.81,6.23,19.75,92.59
2015-04-08,20,6980,4885,1094,256,745,20,1969,55.30,244.25,54.70,12.80,37.25,69.99,15.67,10.67,3.67,69.99,15.67,3.67,10.67,100.00
2003-11-20,19,6631,4118,1404,351,758,19,1954,54.73,216.74,73.89,18.47,39.89,62.10,21.17,11.43,5.29,62.10,21.17,5.29,11.43,100.00
2013-04-16,16,5584,3503,1211,221,649,16,1963,56.45,218.94,75.69,13.81,40.56,62.73,21.69,11.62,3.96,62.73,21.69,3.96,11.62,100.00
2003-11-10,3,1047,644,152,96,155,3,1954,54.73,214.67,50.67,32.00,51.67,61.51,14.52,14.80,9.17,61.51,14.52,9.17,14.80,100.00
2007-04-24,1,349,136,110,16,87,1,1958,51.29,136.00,110.00,16.00,87.00,38.97,31.52,24.93,4.58,38.97,31.52,4.58,24.93,100.00
2014-06-17,22,7678,4826,1929,173,750,22,1963,56.45,219.36,87.68,7.86,34.09,62.86,25.12,9.77,2.25,62.85,25.12,2.25,9.77,100.00
2004-11-17,4,1396,770,403,49,174,4,1954,53.30,192.50,100.75,12.25,43.50,55.16,28.87,12.47,3.51,55.16,28.87,3.51,12.46,100.00
2007-11-29,6,2094,1354,337,58,345,6,1958,53.01,225.67,56.17,9.67,57.50,64.66,16.09,16.48,2.77,64.66,16.09,2.77,16.48,100.00
2012-02-22,3,1047,842,57,35,113,3,1963,55.40,280.67,19.00,11.67,37.67,80.42,5.44,10.79,3.34,80.42,5.44,3.34,10.79,100.00
2008-05-26,4,1396,641,418,0,337,4,1958,53.30,160.25,104.50,0.00,84.25,45.92,29.94,24.14,0.00,45.92,29.94,0.00,24.14,100.00
2011-06-16,3,1047,759,58,71,159,3,1963,54.63,253.00,19.33,23.67,53.00,72.49,5.54,15.18,6.78,72.49,5.54,6.78,15.19,100.00
2004-09-21,4,1396,797,307,82,210,4,1954,53.58,199.25,76.75,20.50,52.50,57.09,21.99,15.04,5.88,57.09,21.99,5.87,15.04,100.00
2020-04-23,4,1396,167,23,30,1176,4,1973,52.44,41.75,5.75,7.50,294.00,11.96,1.65,84.24,2.15,11.96,1.65,2.15,84.24,100.00
