vote_date,number_ballots,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,approved_ballots,avg_born_year,avg_percentage_yes,avg_percentage_no,avg_percentage_absent,avg_percentage_abstain,avg_percentage_male,avg_percentage_approved,percentage_yes,percentage_no,percentage_abstain,percentage_absent,percentage_approved
2016-06-01,69,24081,14986,4435,2046,2614,69,1969,60.89,17.63,11.63,9.85,54.32,100.00,62.23,18.42,8.50,10.86,100.00
2025-01-01,14,4886,3174,786,266,660,14,1976,64.96,16.09,13.51,5.44,55.59,100.00,64.96,16.09,5.44,13.51,100.00
2017-10-01,8,2792,1686,592,58,456,8,1969,53.67,30.78,14.37,1.19,53.73,100.00,60.39,21.20,2.08,16.33,100.00
2020-11-01,20,6980,766,260,86,5868,20,1973,10.98,3.90,84.08,1.04,50.72,100.00,10.97,3.72,1.23,84.07,100.00
2023-06-01,43,15007,9304,2487,1275,1941,43,1975,63.19,15.94,12.91,7.95,52.72,100.00,62.00,16.57,8.50,12.93,100.00
2024-11-01,18,6282,3348,1406,560,968,18,1975,51.79,21.08,15.90,11.23,54.44,100.00,53.30,22.38,8.91,15.41,100.00
2011-03-01,112,39088,22564,10383,1525,4616,111,1963,55.70,29.04,12.14,3.13,54.43,96.15,57.73,26.56,3.90,11.81,99.11
2009-09-01,9,3141,1571,936,106,528,9,1958,46.25,33.68,17.31,2.77,53.71,100.00,50.02,29.80,3.37,16.81,100.00
2009-04-01,48,16752,8318,4722,383,3329,48,1959,49.77,27.72,20.64,1.88,52.23,100.00,49.65,28.19,2.29,19.87,100.00
2010-01-01,12,4188,2203,1159,54,772,12,1959,51.43,29.28,18.25,1.05,53.30,100.00,52.60,27.67,1.29,18.43,100.00
2009-12-01,70,24430,12382,7091,638,4319,70,1959,51.64,29.23,17.77,1.36,53.52,100.00,50.68,29.03,2.61,17.68,100.00
2014-11-01,6,2094,1533,212,18,331,6,1969,75.79,8.25,15.45,0.52,55.30,100.00,73.21,10.12,0.86,15.81,100.00
2019-12-01,22,7678,4741,1221,1142,574,22,1973,63.37,16.96,8.18,11.49,52.53,100.00,61.75,15.90,14.87,7.48,100.00
