vote_date,number_ballots,total_votes,yes_votes,no_votes,abstain_votes,absent_votes,approved_ballots,avg_born_year,avg_percentage_yes,avg_percentage_no,avg_percentage_absent,avg_percentage_abstain,avg_percentage_male,avg_percentage_approved,percentage_yes,percentage_no,percentage_abstain,percentage_absent,percentage_approved
2014-04-14,9,3141,2008,486,140,507,9,1963,63.93,15.47,16.14,4.46,56.73,100.00,63.93,15.47,4.46,16.14,100.00
2018-11-26,5,1745,1104,417,80,144,5,1973,63.27,23.90,8.25,4.58,53.30,100.00,63.27,23.90,4.58,8.25,100.00
2018-04-16,52,18148,10829,2441,1797,3081,52,1970,59.88,13.92,17.54,8.66,54.44,100.00,59.67,13.45,9.90,16.98,100.00
2016-02-22,1,349,133,114,38,64,1,1969,38.11,32.66,18.34,10.89,55.30,100.00,38.11,32.66,10.89,18.34,100.00
2010-04-12,8,2792,1495,768,33,496,8,1959,52.48,29.37,17.36,0.79,53.01,100.00,53.55,27.51,1.18,17.77,100.00
2003-05-26,6,2094,1350,256,221,267,6,1954,64.47,12.22,12.75,10.56,55.01,100.00,64.47,12.23,10.55,12.75,100.00
2011-06-13,14,4886,3361,628,250,647,14,1963,64.23,15.17,13.08,7.53,54.71,100.00,68.79,12.85,5.12,13.24,100.00
2012-11-19,6,2094,1280,420,182,212,6,1963,61.13,20.06,10.13,8.69,57.02,100.00,61.13,20.06,8.69,10.12,100.00
2004-01-26,10,3490,2062,689,80,659,10,1954,58.80,19.98,18.87,2.37,55.01,100.00,59.08,19.74,2.29,18.88,100.00
2009-01-12,8,2792,1344,804,187,457,8,1959,48.14,28.80,16.37,6.70,53.30,100.00,48.14,28.80,6.70,16.37,100.00
2016-05-23,14,4886,3615,732,16,523,14,1969,70.70,17.28,11.81,0.21,54.44,100.00,73.99,14.98,0.33,10.70,100.00
2004-05-17,2,698,396,129,1,172,2,1954,56.74,18.48,24.64,0.15,55.01,100.00,56.73,18.48,0.14,24.64,100.00
2010-02-08,13,4537,2117,1390,81,949,13,1959,46.64,30.17,20.94,2.26,53.27,100.00,46.66,30.64,1.79,20.92,100.00
