table_name,approx_row_count,size_category
jv_snapshot,6714,medium (1K-10K)
jv_global_id,6714,medium (1K-10K)
jv_commit_property,6712,medium (1K-10K)
jv_commit,6712,medium (1K-10K)
government_body_data,6520,medium (1K-10K)
language_data,140,small (100-1K)
application_action_event,0,tiny (<100)
application_configuration,0,tiny (<100)
against_proposal_container,0,tiny (<100)
application_view,0,tiny (<100)
application_session,0,tiny (<100)
data_source_content,0,tiny (<100)
assignment_element,0,tiny (<100)
committee_document_data,0,tiny (<100)
assignment_data,0,tiny (<100)
committee_proposal_container,0,tiny (<100)
committee_proposal_data,0,tiny (<100)
countries_element,0,tiny (<100)
committee_proposal_component_0,0,tiny (<100)
data_element,0,tiny (<100)
detail_data,0,tiny (<100)
document_data,0,tiny (<100)
document_container_element,0,tiny (<100)
document_content_data,0,tiny (<100)
document_attachment,0,tiny (<100)
document_attachment_container,0,tiny (<100)
document_detail_container,0,tiny (<100)
detail_element,0,tiny (<100)
document_activity_container,0,tiny (<100)
document_proposal_data,0,tiny (<100)
document_element,0,tiny (<100)
document_proposal_container,0,tiny (<100)
document_reference_container,0,tiny (<100)
document_reference_data,0,tiny (<100)
document_person_reference_co_0,0,tiny (<100)
portal,0,tiny (<100)
person_container_element,0,tiny (<100)
person_assignment_data,0,tiny (<100)
operational_information_cont_0,0,tiny (<100)
person_data,0,tiny (<100)
person_container_data,0,tiny (<100)
person_detail_data,0,tiny (<100)
performance_indicator_content,0,tiny (<100)
person_assignment_element,0,tiny (<100)
sweden_parliament_electoral__0,0,tiny (<100)
rule_violation,0,tiny (<100)
sweden_election_type,0,tiny (<100)
quality_assurance_content,0,tiny (<100)
sweden_county_electoral_area,0,tiny (<100)
sweden_county_data,0,tiny (<100)
sweden_county_data_container,0,tiny (<100)
sweden_election_type_contain_0,0,tiny (<100)
sweden_municipality_election_0,0,tiny (<100)
sweden_county_electoral_regi_0,0,tiny (<100)
sweden_election_region,0,tiny (<100)
sweden_municipality_data,0,tiny (<100)
sweden_parliament_electoral__1,0,tiny (<100)
topics,0,tiny (<100)
vote_data,0,tiny (<100)
target_profile_content,0,tiny (<100)
user_account,0,tiny (<100)
sweden_political_party,0,tiny (<100)
topic,0,tiny (<100)
world_bank_data,0,tiny (<100)
vote_meta_data,0,tiny (<100)
person_detail_element,0,tiny (<100)
person_element,0,tiny (<100)
country_element,0,tiny (<100)
sweden_county_electoral_regi_1,0,tiny (<100)
against_proposal_data,0,tiny (<100)
user_account_address,0,tiny (<100)
indicator_element,0,tiny (<100)
document_activity_data,0,tiny (<100)
document_person_reference_da_0,0,tiny (<100)
domain_portal,0,tiny (<100)
document_detail_data,0,tiny (<100)
encrypted_value,0,tiny (<100)
language_content_data,0,tiny (<100)
document_status_container,0,tiny (<100)
indicators_element,0,tiny (<100)
agency,0,tiny (<100)
