schema,view_name,estimated_rows,dead_rows,last_analyzed,last_auto_analyzed
public,view_riksdagen_committee_decisions,0,0,2026-02-05 17:25:29.551026+00,
public,view_riksdagen_politician_document_daily_summary,0,0,2026-02-05 17:25:29.552071+00,
public,view_riksdagen_document_type_daily_summary,0,0,2026-02-05 17:25:29.551249+00,
public,view_riksdagen_org_document_daily_summary,0,0,2026-02-05 17:25:29.551402+00,
public,view_riksdagen_politician_document,0,0,2026-02-05 17:25:29.551729+00,
public,view_riksdagen_politician_document_summary,0,0,2026-02-05 17:25:29.552319+00,
public,view_riksdagen_vote_data_ballot_summary,0,0,2026-02-05 17:25:29.556112+00,
public,view_riksdagen_vote_data_ballot_summary_daily,0,0,2026-02-05 17:25:29.556612+00,
public,view_riksdagen_vote_data_ballot_summary_monthly,0,0,2026-02-05 17:25:29.556844+00,
public,view_riksdagen_vote_data_ballot_summary_weekly,0,0,2026-02-05 17:25:29.557095+00,
public,view_worldbank_indicator_data_country_summary,0,0,2026-02-05 17:25:29.557315+00,
public,view_riksdagen_committee_ballot_decision_summary,0,0,2026-02-05 17:25:29.550415+00,
public,view_riksdagen_committee_decision_type_org_summary,0,0,2026-02-05 17:25:29.550654+00,
public,view_riksdagen_committee_decision_type_summary,0,0,2026-02-05 17:25:29.550833+00,
public,view_riksdagen_party_document_daily_summary,0,0,2026-02-05 17:25:29.551553+00,
public,view_riksdagen_vote_data_ballot_party_summary,0,0,2026-02-05 17:25:29.552684+00,
public,view_riksdagen_vote_data_ballot_party_summary_daily,0,0,2026-02-05 17:25:29.553362+00,
public,view_riksdagen_vote_data_ballot_party_summary_monthly,0,0,2026-02-05 17:25:29.553677+00,
public,view_riksdagen_vote_data_ballot_party_summary_weekly,0,0,2026-02-05 17:25:29.553953+00,
public,view_riksdagen_vote_data_ballot_politician_summary,0,0,2026-02-05 17:25:29.554264+00,
public,view_riksdagen_vote_data_ballot_politician_summary_daily,0,0,2026-02-05 17:25:29.554952+00,
public,view_riksdagen_vote_data_ballot_politician_summary_monthly,0,0,2026-02-05 17:25:29.555369+00,
public,view_riksdagen_vote_data_ballot_politician_summary_weekly,0,0,2026-02-05 17:25:29.555727+00,
public,view_riksdagen_vote_data_ballot_summary_annual,0,0,2026-02-05 17:25:29.556387+00,
public,view_riksdagen_committee_ballot_decision_party_summary,0,0,2026-02-05 17:25:29.549759+00,
public,view_riksdagen_committee_ballot_decision_politician_summary,0,0,2026-02-05 17:25:29.550135+00,
public,view_riksdagen_vote_data_ballot_party_summary_annual,0,0,2026-02-05 17:25:29.553074+00,
public,view_riksdagen_vote_data_ballot_politician_summary_annual,0,0,2026-02-05 17:25:29.55459+00,
