column_name,data_type,distinct_count,min_value,max_value,p1,p10,p25,median,p75,p90,p99
total_members,bigint,0,,,,,,,,,
chairs_count,bigint,0,,,,,,,,,
vice_chairs_count,bigint,0,,,,,,,,,
regular_members,bigint,0,,,,,,,,,
substitutes,bigint,0,,,,,,,,,
total_decisions_all_time,bigint,0,,,,,,,,,
decisions_last_year,bigint,0,,,,,,,,,
decisions_last_month,bigint,0,,,,,,,,,
days_since_last_decision,integer,0,,,,,,,,,
total_documents,bigint,0,,,,,,,,,
documents_last_year,bigint,0,,,,,,,,,
motions_count,bigint,0,,,,,,,,,
propositions_count,bigint,0,,,,,,,,,
reports_count,bigint,0,,,,,,,,,
decisions_per_member,numeric,0,,,,,,,,,
documents_per_member,numeric,0,,,,,,,,,
ballots_decided_last_year,bigint,0,,,,,,,,,
avg_approval_rate,numeric,0,,,,,,,,,
productivity_score,numeric,0,,,,,,,,,
