column_name,data_type,distinct_count,min_value,max_value,p1,p10,p25,median,p75,p90,p99
year,numeric,0,,,,,,,,,
quarter,numeric,0,,,,,,,,,
total_documents,bigint,0,,,,,,,,,
committee_reports,bigint,0,,,,,,,,,
motions_handled,bigint,0,,,,,,,,,
active_members,bigint,0,,,,,,,,,
documents_per_member,numeric,0,,,,,,,,,
reports_per_member,numeric,0,,,,,,,,,
document_change,bigint,0,,,,,,,,,
document_change_pct,numeric,0,,,,,,,,,
ma_4quarter_documents,numeric,0,,,,,,,,,
period_avg_documents,numeric,0,,,,,,,,,
period_median_documents,numeric,0,,,,,,,,,
period_max_documents,bigint,0,,,,,,,,,
period_min_documents,bigint,0,,,,,,,,,
vs_average,numeric,0,,,,,,,,,
vs_average_pct,numeric,0,,,,,,,,,
activity_span_days,integer,0,,,,,,,,,
