column_name,data_type,distinct_count,min_value,max_value,p1,p10,p25,median,p75,p90,p99
active_members,bigint,1,0,0,0,0,0,0,0,0,0
inactive_members,bigint,1,0,0,0,0,0,0,0,0,0
total_violations,bigint,1,0,0,0,0,0,0,0,0,0
members_with_violations,bigint,1,0,0,0,0,0,0,0,0,0
violation_rate_percentage,numeric,1,0,0,0,0,0,0,0,0,0
total_votes_last_year,numeric,1,0,0,0,0,0,0,0,0,0
avg_absence_rate,numeric,1,0.00,0.00,0,0,0,0,0,0,0
avg_win_rate,numeric,1,0.00,0.00,0,0,0,0,0,0,0
avg_rebel_rate,numeric,1,0.00,0.00,0,0,0,0,0,0,0
avg_participation_rate,numeric,1,0.00,0.00,0,0,0,0,0,0,0
documents_last_year,bigint,1,0,0,0,0,0,0,0,0,0
motions_last_year,bigint,1,0,0,0,0,0,0,0,0,0
propositions_last_year,bigint,1,0,0,0,0,0,0,0,0,0
docs_per_member,numeric,1,0,0,0,0,0,0,0,0,0
current_ministers,bigint,1,0,0,0,0,0,0,0,0,0
current_committee_chairs,bigint,1,0,0,0,0,0,0,0,0,0
performance_score,numeric,1,35.00,35.00,35,35,35,35,35,35,35
