column_name,data_type,distinct_count,min_value,max_value,p1,p10,p25,median,p75,p90,p99
election_year,integer,0,,,,,,,,,
career_cycle_number,bigint,0,,,,,,,,,
total_cycles,bigint,0,,,,,,,,,
career_start_year,integer,0,,,,,,,,,
career_end_year,integer,0,,,,,,,,,
ballot_count,bigint,0,,,,,,,,,
attendance_rate,numeric,0,,,,,,,,,
win_rate,numeric,0,,,,,,,,,
leadership_roles,bigint,0,,,,,,,,,
documents_authored,bigint,0,,,,,,,,,
avg_career_attendance,numeric,0,,,,,,,,,
performance_vs_baseline,numeric,0,,,,,,,,,
