column_name,data_type,distinct_count,min_value,max_value,p1,p10,p25,median,p75,p90,p99
born_year,integer,0,,,,,,,,,
first_activity_year,integer,0,,,,,,,,,
last_activity_year,integer,0,,,,,,,,,
total_career_days,integer,0,,,,,,,,,
total_career_years,numeric,0,,,,,,,,,
age_at_career_start,integer,0,,,,,,,,,
age_at_career_end,integer,0,,,,,,,,,
election_cycles_active,bigint,0,,,,,,,,,
total_votes_cast,bigint,0,,,,,,,,,
total_assignments,bigint,0,,,,,,,,,
avg_votes_per_year,numeric,0,,,,,,,,,
avg_assignments_per_year,numeric,0,,,,,,,,,
career_continuity_score,numeric,0,,,,,,,,,
