id,year,name,consecutive_number,government_body_id,m_code,ministry,org_number,head_count,annual_work_head_count,vat,comment
6041,2024,Statens beredning för medicinsk och social utvärdering,1202,SBU,SBU,Socialdepartementet,202100-4417,86,78,Rätt till kompensation,""
4066,2015,Regionala etikprövningsnämnden i Stockholm,1315,EPS,EPS,Utbildningsdepartementet,202200-1578,0,0,Rätt till kompensation,""
5746,2023,Lantmäteriet,1005,LM,LM,Landsbygds- och infrastrukturdepartementet,202100-4888,2195,2101,Rätt till kompensation,""
3096,2011,Luleå tekniska universitet,1126,LTU,LTU,Utbildningsdepartementet,202100-2841,1479,1252,Rätt till kompensation,""
1078,2003,Institutet för psykosocial medicin,1166,IPM,IPM,Socialdepartementet,202100-3641,0,0,Rätt till kompensation,""
2803,2010,Försvarets materielverk,1006,FMV,FMV,Försvarsdepartementet,202100-0340,1588,1516,Rätt till kompensation,""
2114,2007,Kungliga hov- och slottsstaten,1002,KSLOTT,KSLOTT,Finansdepartementet,202100-3484,144,144,Rätt till kompensation,""
1535,2005,Boverket,1183,BOV,BOV,Miljö- och samhällsbyggnadsdepartementet,202100-3989,170,163,Rätt till kompensation,""
3511,2013,Gymnastik- och idrottshögskolan,1198,IHS,IHS,Utbildningsdepartementet,202100-4334,140,116,Rätt till kompensation,""
2033,2007,Avvecklingsmyndigheten för Arbetslivsinstitutet,1333,AALI,AALI,Arbetsmarknadsdepartementet,202100-5661,0,0,Nej,""
4787,2018,Säkerhetspolisen,1233,SAPO,SAPO,Justitiedepartementet,202100-6594,0,0,Rätt till kompensation,""
2739,2009,Säkerhetspolisen,1233,SAPO,SAPO,Justitiedepartementet,210000-9999,0,0,Rätt till kompensation,""
3866,2014,Statens fastighetsverk,1213,SFV,SFV,Socialdepartementet,202100-4474,376,358,Rätt till kompensation,""
1590,2005,Justitiekanslern,1035,JK,JK,Justitiedepartementet,202100-0035,19,20,Rätt till kompensation,""
6502,2026,Tandvårds- och läkemedelsförmånsverket,1280,TLV,TLV,Socialdepartementet,202100-5364,175,151,Rätt till kompensation,""
6443,2026,Nämnden för prövning av oredlighet i forskning,1414,NPO,NPO,Utbildningsdepartementet,202100-6933,0,0,Rätt till kompensation,Kanslipersonal som arbetar vid Nämnden för prövning av oredlighet i forskning är inte anställd av nämnden utan av värdmyndigheten Etikprövningsmyndigheten.
374,2000,Länsstyrelsen i Kalmar län,1013,LKALM,LKALM,Finansdepartementet,202100-2304,0,0,Rätt till kompensation,""
5984,2024,Länsstyrelsen i Västerbottens län,1024,LVBOTT,LVBOTT,Finansdepartementet,202100-2460,308,281,Rätt till kompensation,""
5997,2024,Myndigheten för delaktighet,1332,MFD,MFD,Socialdepartementet,202100-5588,42,38,Rätt till kompensation,""
5097,2020,Kungl. Tekniska högskolan,1050,KTH,KTH,Utbildningsdepartementet,202100-3054,5044,3760,Rätt till kompensation,""
2550,2009,Ekonomistyrningsverket,1246,ESV,ESV,Finansdepartementet,202100-5026,176,142,Rätt till kompensation,""
64,1999,Högskolan i Halmstad,1171,HH,HH,Utbildningsdepartementet,202100-3203,0,0,Ja,""
4772,2018,Statens veterinärmedicinska anstalt,1069,SVA,SVA,Näringsdepartementet,202100-1868,340,305,Rätt till kompensation,""
4973,2019,Statens inspektion för försvarsunderrättelseverksamheten,1359,SIUN,SIUN,Försvarsdepartementet,202100-6214,5,4,Rätt till kompensation,""
3281,2012,Havs- och vattenmyndigheten,1379,HaV,HaV,Miljödepartementet,202100-6420,225,213,Rätt till kompensation,Myndigheten startar 2011-07-01
1796,2006,Djurskyddsmyndigheten,1310,DJURSK,DJURSK,Landsbygdsdepartementet,202100-5455,145,58,Rätt till kompensation,""
3012,2011,Blekinge tekniska högskola,1185,BTH,BTH,Utbildningsdepartementet,202100-4011,589,487,Rätt till kompensation,""
5196,2020,Statens musikverk,1169,SMV,SMV,Kulturdepartementet,202100-3666,83,69,Rätt till kompensation,""
198,1999,Statens institutionsstyrelse,1215,SIS,SIS,Socialdepartementet,202100-4508,0,0,Rätt till kompensation,""
1421,2004,Regionala etikprövningsnämnden i Linköping,1314,EPLI,EPLI,Utbildnings- och kulturdepartementet,202200-1552,0,0,Rätt till kompensation,""
1871,2006,Livsmedelsverket,1134,SLV,SLV,Landsbygdsdepartementet,202100-1850,543,481,Rätt till kompensation,""
