global_id_pk,local_id,fragment,type_name,owner_id_fk
4940,4647,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
2198,1905,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
4836,4543,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
280,181,,com.hack23.cia.model.internal.application.system.impl.LanguageData,
3738,3445,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
4932,4639,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
2516,2223,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
5748,5455,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
6676,6383,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
2387,2094,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
1811,1518,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
4088,3795,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
3023,2730,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
4576,4283,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
1463,1170,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
2203,1910,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
6397,6104,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
3452,3159,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
6054,5761,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
3683,3390,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
3244,2951,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
1903,1610,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
311,18,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
4056,3763,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
3013,2720,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
2087,1794,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
1210,917,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
4421,4128,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
5490,5197,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
5122,4829,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
5906,5613,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
2153,1860,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
330,37,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
1234,941,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
639,346,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
6498,6205,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
945,652,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
3565,3272,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
6387,6094,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
2725,2432,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
1457,1164,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
5414,5121,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
2887,2594,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
469,176,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
2920,2627,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
5353,5060,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
3441,3148,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
484,191,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
1776,1483,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
2293,2000,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
4963,4670,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
4736,4443,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
4560,4267,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
4884,4591,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
190,91,,com.hack23.cia.model.internal.application.system.impl.LanguageData,
4158,3865,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
1177,884,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
3413,3120,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
3597,3304,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
6662,6369,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
4338,4045,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
3312,3019,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
910,617,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
1982,1689,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
334,41,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
2016,1723,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
5532,5239,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
377,84,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
337,44,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
6409,6116,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
4679,4386,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
2960,2667,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
3888,3595,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
4292,3999,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
224,125,,com.hack23.cia.model.internal.application.system.impl.LanguageData,
369,76,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
752,459,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
3178,2885,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
3345,3052,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
6385,6092,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
6349,6056,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
3355,3062,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
5273,4980,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
481,188,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
5967,5674,,com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,
