snapshot_pk,type,version,state,changed_properties,managed_type,global_id_fk,commit_fk
565800,INITIAL,1,"{
  ""annualWorkHeadCount"": 54,
  ""year"": 2022,
  ""headCount"": 62,
  ""name"": ""Brottsoffermyndigheten"",
  ""vat"": ""Rätt till kompensation"",
  ""consecutiveNumber"": 1216,
  ""comment"": """",
  ""mCode"": ""BROM"",
  ""governmentBodyId"": ""BROM"",
  ""id"": 5464,
  ""orgNumber"": ""202100-3435"",
  ""ministry"": ""Justitiedepartementet""
}","[
  ""annualWorkHeadCount"",
  ""year"",
  ""headCount"",
  ""name"",
  ""vat"",
  ""consecutiveNumber"",
  ""comment"",
  ""mCode"",
  ""governmentBodyId"",
  ""id"",
  ""orgNumber"",
  ""ministry""
]",com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,5757,5755
224300,INITIAL,1,"{
  ""annualWorkHeadCount"": 61,
  ""year"": 2007,
  ""headCount"": 78,
  ""name"": ""Dramatiska institutet"",
  ""vat"": ""Rätt till kompensation"",
  ""consecutiveNumber"": 1118,
  ""comment"": """",
  ""mCode"": ""DI"",
  ""governmentBodyId"": ""DI"",
  ""id"": 2049,
  ""orgNumber"": ""202100-1306"",
  ""ministry"": ""Utbildningsdepartementet""
}","[
  ""annualWorkHeadCount"",
  ""year"",
  ""headCount"",
  ""name"",
  ""vat"",
  ""consecutiveNumber"",
  ""comment"",
  ""mCode"",
  ""governmentBodyId"",
  ""id"",
  ""orgNumber"",
  ""ministry""
]",com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,2342,2340
564600,INITIAL,1,"{
  ""annualWorkHeadCount"": 821,
  ""year"": 2022,
  ""headCount"": 856,
  ""name"": ""Affärsverket svenska kraftnät"",
  ""vat"": ""Nej"",
  ""consecutiveNumber"": 1204,
  ""comment"": """",
  ""mCode"": ""SVK"",
  ""governmentBodyId"": ""SVK"",
  ""id"": 5452,
  ""orgNumber"": ""202100-4284"",
  ""ministry"": ""Infrastrukturdepartementet""
}","[
  ""annualWorkHeadCount"",
  ""year"",
  ""headCount"",
  ""name"",
  ""vat"",
  ""consecutiveNumber"",
  ""comment"",
  ""mCode"",
  ""governmentBodyId"",
  ""id"",
  ""orgNumber"",
  ""ministry""
]",com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,5745,5743
398100,INITIAL,1,"{
  ""annualWorkHeadCount"": 94,
  ""year"": 2014,
  ""headCount"": 110,
  ""name"": ""Länsstyrelsen i Blekinge län"",
  ""vat"": ""Rätt till kompensation"",
  ""consecutiveNumber"": 1034,
  ""comment"": """",
  ""mCode"": ""LBLEK"",
  ""governmentBodyId"": ""LBLEK"",
  ""id"": 3787,
  ""orgNumber"": ""202100-2320"",
  ""ministry"": ""Socialdepartementet""
}","[
  ""annualWorkHeadCount"",
  ""year"",
  ""headCount"",
  ""name"",
  ""vat"",
  ""consecutiveNumber"",
  ""comment"",
  ""mCode"",
  ""governmentBodyId"",
  ""id"",
  ""orgNumber"",
  ""ministry""
]",com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,4080,4078
486200,INITIAL,1,"{
  ""annualWorkHeadCount"": 1786,
  ""year"": 2018,
  ""headCount"": 2115,
  ""name"": ""Linnéuniversitetet"",
  ""vat"": ""Rätt till kompensation"",
  ""consecutiveNumber"": 1364,
  ""comment"": """",
  ""mCode"": ""LINU"",
  ""governmentBodyId"": ""LINU"",
  ""id"": 4668,
  ""orgNumber"": ""202100-6271"",
  ""ministry"": ""Utbildningsdepartementet""
}","[
  ""annualWorkHeadCount"",
  ""year"",
  ""headCount"",
  ""name"",
  ""vat"",
  ""consecutiveNumber"",
  ""comment"",
  ""mCode"",
  ""governmentBodyId"",
  ""id"",
  ""orgNumber"",
  ""ministry""
]",com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,4961,4959
647100,INITIAL,1,"{
  ""annualWorkHeadCount"": 217,
  ""year"": 2025,
  ""headCount"": 244,
  ""name"": ""Statens väg- och transportforskningsinstitut"",
  ""vat"": ""Rätt till kompensation"",
  ""consecutiveNumber"": 1129,
  ""comment"": """",
  ""mCode"": ""VTI"",
  ""governmentBodyId"": ""VTI"",
  ""id"": 6277,
  ""orgNumber"": ""202100-0704"",
  ""ministry"": ""Landsbygds- och infrastrukturdepartementet""
}","[
  ""annualWorkHeadCount"",
  ""year"",
  ""headCount"",
  ""name"",
  ""vat"",
  ""consecutiveNumber"",
  ""comment"",
  ""mCode"",
  ""governmentBodyId"",
  ""id"",
  ""orgNumber"",
  ""ministry""
]",com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,6570,6568
403900,INITIAL,1,"{
  ""annualWorkHeadCount"": 371,
  ""year"": 2014,
  ""headCount"": 420,
  ""name"": ""Riksantikvarieämbetet"",
  ""vat"": ""Rätt till kompensation"",
  ""consecutiveNumber"": 1007,
  ""comment"": """",
  ""mCode"": ""RAA"",
  ""governmentBodyId"": ""RAA"",
  ""id"": 3845,
  ""orgNumber"": ""202100-1090"",
  ""ministry"": ""Kulturdepartementet""
}","[
  ""annualWorkHeadCount"",
  ""year"",
  ""headCount"",
  ""name"",
  ""vat"",
  ""consecutiveNumber"",
  ""comment"",
  ""mCode"",
  ""governmentBodyId"",
  ""id"",
  ""orgNumber"",
  ""ministry""
]",com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,4138,4136
259100,INITIAL,1,"{
  ""annualWorkHeadCount"": 1121,
  ""year"": 2008,
  ""headCount"": 1423,
  ""name"": ""Malmö Högskola"",
  ""vat"": ""Ja"",
  ""consecutiveNumber"": 1241,
  ""comment"": """",
  ""mCode"": ""MAH"",
  ""governmentBodyId"": ""MAH"",
  ""id"": 2397,
  ""orgNumber"": ""202100-4920"",
  ""ministry"": ""Utbildningsdepartementet""
}","[
  ""annualWorkHeadCount"",
  ""year"",
  ""headCount"",
  ""name"",
  ""vat"",
  ""consecutiveNumber"",
  ""comment"",
  ""mCode"",
  ""governmentBodyId"",
  ""id"",
  ""orgNumber"",
  ""ministry""
]",com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,2690,2688
128800,INITIAL,1,"{
  ""annualWorkHeadCount"": 0,
  ""year"": 2003,
  ""headCount"": 0,
  ""name"": ""Konstfack"",
  ""vat"": ""Rätt till kompensation"",
  ""consecutiveNumber"": 1052,
  ""comment"": """",
  ""mCode"": ""KF"",
  ""governmentBodyId"": ""KF"",
  ""id"": 1094,
  ""orgNumber"": ""202100-1199"",
  ""ministry"": ""Utbildningsdepartementet""
}","[
  ""annualWorkHeadCount"",
  ""year"",
  ""headCount"",
  ""name"",
  ""vat"",
  ""consecutiveNumber"",
  ""comment"",
  ""mCode"",
  ""governmentBodyId"",
  ""id"",
  ""orgNumber"",
  ""ministry""
]",com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,1387,1385
93100,INITIAL,1,"{
  ""annualWorkHeadCount"": 0,
  ""year"": 2001,
  ""headCount"": 0,
  ""name"": ""Sveriges geologiska undersökning"",
  ""vat"": ""Rätt till kompensation"",
  ""consecutiveNumber"": 1055,
  ""comment"": """",
  ""mCode"": ""SGU"",
  ""governmentBodyId"": ""SGU"",
  ""id"": 737,
  ""orgNumber"": ""202100-2528"",
  ""ministry"": ""Näringsdepartementet""
}","[
  ""annualWorkHeadCount"",
  ""year"",
  ""headCount"",
  ""name"",
  ""vat"",
  ""consecutiveNumber"",
  ""comment"",
  ""mCode"",
  ""governmentBodyId"",
  ""id"",
  ""orgNumber"",
  ""ministry""
]",com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,1030,1028
