hjid,language_name,model_object_id,model_object_version,created_date,last_modified_date,language_enabled,auto_translation_enabled,language_code,translation_status
194,Zulu,,0,2026-02-05 17:20:01.854,,f,,zu,
114,Khmer,,0,2026-02-05 17:20:01.836,,f,,km,
165,Shona,,0,2026-02-05 17:20:01.84,,f,,sn,
105,Sichuan Yi,,0,2026-02-05 17:20:01.835,,f,,ii,
118,Kurdish,,0,2026-02-05 17:20:01.836,,f,,ku,
78,English,,0,2026-02-05 17:20:01.833,,f,,en,
160,Northern Sami,,0,2026-02-05 17:20:01.839,,f,,se,
71,Chuvash,,0,2026-02-05 17:20:01.832,,f,,cv,
76,Ewe,,0,2026-02-05 17:20:01.833,,f,,ee,
98,Haitian Creole,,0,2026-02-05 17:20:01.835,,f,,ht,
101,Interlingua,,0,2026-02-05 17:20:01.835,,f,,ia,
174,Telugu,,0,2026-02-05 17:20:01.84,,f,,te,
74,German,,0,2026-02-05 17:20:01.832,,f,,de,
111,Kikuyu,,0,2026-02-05 17:20:01.836,,f,,ki,
72,Welsh,,0,2026-02-05 17:20:01.832,,f,,cy,
63,Bambara,,0,2026-02-05 17:20:01.831,,f,,bm,
60,Azerbaijani,,0,2026-02-05 17:20:01.831,,f,,az,
128,Malagasy,,0,2026-02-05 17:20:01.837,,f,,mg,
84,Fula,,0,2026-02-05 17:20:01.833,,f,,ff,
126,Luba-Katanga,,0,2026-02-05 17:20:01.837,,f,,lu,
66,Breton,,0,2026-02-05 17:20:01.832,,f,,br,
73,Danish,,0,2026-02-05 17:20:01.832,,f,,da,
82,Basque,,0,2026-02-05 17:20:01.833,,f,,eu,
93,Manx,,0,2026-02-05 17:20:01.834,,f,,gv,
162,Sinhala,,0,2026-02-05 17:20:01.84,,f,,si,
153,Rundi,,0,2026-02-05 17:20:01.839,,f,,rn,
156,Kinyarwanda,,0,2026-02-05 17:20:01.839,,f,,rw,
189,Xhosa,,0,2026-02-05 17:20:01.842,,f,,xh,
178,Turkmen,,0,2026-02-05 17:20:01.841,,f,,tk,
184,Ukrainian,,0,2026-02-05 17:20:01.841,,f,,uk,
175,Tajik,,0,2026-02-05 17:20:01.84,,f,,tg,
140,Dutch,,0,2026-02-05 17:20:01.838,,f,,nl,
161,Sango,,0,2026-02-05 17:20:01.84,,f,,sg,
187,Vietnamese,,0,2026-02-05 17:20:01.841,,f,,vi,
124,Lao,,0,2026-02-05 17:20:01.837,,f,,lo,
108,Japanese,,0,2026-02-05 17:20:01.835,,f,,ja,
148,Polish,,0,2026-02-05 17:20:01.839,,f,,pl,
68,Catalan,,0,2026-02-05 17:20:01.832,,f,,ca,
80,Spanish,,0,2026-02-05 17:20:01.833,,f,,es,
177,Tigrinya,,0,2026-02-05 17:20:01.841,,f,,ti,
150,Portuguese,,0,2026-02-05 17:20:01.839,,f,,pt,
67,Bosnian,,0,2026-02-05 17:20:01.832,,f,,bs,
168,Serbian,,0,2026-02-05 17:20:01.84,,f,,sr,
166,Somali,,0,2026-02-05 17:20:01.84,,f,,so,
193,Chinese,,0,2026-02-05 17:20:01.842,,f,,zh,
83,Persian,,0,2026-02-05 17:20:01.833,,f,,fa,
125,Lithuanian,,0,2026-02-05 17:20:01.837,,f,,lt,
57,Amharic,,0,2026-02-05 17:20:01.831,,f,,am,
144,Oromo,,0,2026-02-05 17:20:01.838,,f,,om,
132,Mongolian,,0,2026-02-05 17:20:01.837,,f,,mn,
186,Uzbek,,0,2026-02-05 17:20:01.841,,f,,uz,
100,Armenian,,0,2026-02-05 17:20:01.835,,f,,hy,
154,Romanian,,0,2026-02-05 17:20:01.839,,f,,ro,
182,Tatar,,0,2026-02-05 17:20:01.841,,f,,tt,
58,Arabic,,0,2026-02-05 17:20:01.831,,f,,ar,
104,Igbo,,0,2026-02-05 17:20:01.835,,f,,ig,
65,Tibetan,,0,2026-02-05 17:20:01.832,,f,,bo,
115,Kannada,,0,2026-02-05 17:20:01.836,,f,,kn,
138,North Ndebele,,0,2026-02-05 17:20:01.838,,f,,nd,
169,Southern Sotho,,0,2026-02-05 17:20:01.84,,f,,st,
116,Korean,,0,2026-02-05 17:20:01.836,,f,,ko,
152,Romansh,,0,2026-02-05 17:20:01.839,,f,,rm,
188,Wolof,,0,2026-02-05 17:20:01.841,,f,,wo,
59,Assamese,,0,2026-02-05 17:20:01.831,,f,,as,
129,Māori,,0,2026-02-05 17:20:01.837,,f,,mi,
192,Zhuang,,0,2026-02-05 17:20:01.842,,f,,za,
185,Urdu,,0,2026-02-05 17:20:01.841,,f,,ur,
106,Icelandic,,0,2026-02-05 17:20:01.835,,f,,is,
86,Faroese,,0,2026-02-05 17:20:01.834,,f,,fo,
90,Scottish Gaelic,,0,2026-02-05 17:20:01.834,,f,,gd,
191,Yoruba,,0,2026-02-05 17:20:01.842,,f,,yo,
89,Irish,,0,2026-02-05 17:20:01.834,,f,,ga,
173,Tamil,,0,2026-02-05 17:20:01.84,,f,,ta,
181,Turkish,,0,2026-02-05 17:20:01.841,,f,,tr,
158,Sardinian,,0,2026-02-05 17:20:01.839,,f,,sc,
110,Georgian,,0,2026-02-05 17:20:01.836,,f,,ka,
171,Swedish,,0,2026-02-05 17:20:01.84,,f,,sv,
179,Tswana,,0,2026-02-05 17:20:01.841,,f,,tn,
149,Pashto,,0,2026-02-05 17:20:01.839,,f,,ps,
61,Belarusian,,0,2026-02-05 17:20:01.831,,f,,be,
85,Finnish,,0,2026-02-05 17:20:01.834,,f,,fi,
135,Maltese,,0,2026-02-05 17:20:01.838,,f,,mt,
157,Sanskrit,,0,2026-02-05 17:20:01.839,,f,,sa,
130,Macedonian,,0,2026-02-05 17:20:01.837,,f,,mk,
146,Ossetic,,0,2026-02-05 17:20:01.838,,f,,os,
96,Hindi,,0,2026-02-05 17:20:01.834,,f,,hi,
117,Kashmiri,,0,2026-02-05 17:20:01.836,,f,,ks,
119,Cornish,,0,2026-02-05 17:20:01.836,,f,,kw,
103,Interlingue,,0,2026-02-05 17:20:01.835,,f,,ie,
64,Bangla,,0,2026-02-05 17:20:01.832,,f,,bn,
190,Yiddish,,0,2026-02-05 17:20:01.842,,f,,yi,
122,Ganda,,0,2026-02-05 17:20:01.837,,f,,lg,
113,Kalaallisut,,0,2026-02-05 17:20:01.836,,f,,kl,
172,Swahili,,0,2026-02-05 17:20:01.84,,f,,sw,
180,Tongan,,0,2026-02-05 17:20:01.841,,f,,to,
139,Nepali,,0,2026-02-05 17:20:01.838,,f,,ne,
167,Albanian,,0,2026-02-05 17:20:01.84,,f,,sq,
88,Western Frisian,,0,2026-02-05 17:20:01.834,,f,,fy,
