election_cycle_id,cycle_year,calendar_year,semester,party,performance_score,active_members,party_violations,party_win_rate,party_participation_rate,documents_last_year,party_avg_rebel_rate,committees_active,rank_by_performance,rank_by_discipline,percent_rank_performance,ntile_party_tier,prev_cycle_performance,prev_cycle_documents,stddev_performance,cycle_party_count,change_performance_pct,change_documents_pct,performance_trend,discipline_score,competitiveness_index
1998-2002,3,2000,annual,SKÅ,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,35.00,0,0,120,0.00,,stable,14.00,0.83
2002-2006,4,2005,annual,V,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,35.00,0,0,120,0.00,,stable,14.00,0.83
2026-2030,2,2027,annual,KLP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,2,35.00,0,0,120,0.00,,stable,14.00,0.83
2030-2034,1,2030,annual,KLP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,2,,,0,30,,,baseline,14.00,3.33
1994-1998,3,1996,annual,NYD,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,35.00,0,0,120,0.00,,stable,14.00,0.83
1994-1998,1,1994,annual,NYD,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,,,0,120,,,baseline,14.00,0.83
2026-2030,4,2029,annual,SOC.P,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,35.00,0,0,120,0.00,,stable,14.00,0.83
2014-2018,1,2014,annual,EAP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,1,,,0,120,,,baseline,14.00,0.83
1998-2002,1,1998,annual,SPI,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,,,0,120,,,baseline,14.00,0.83
2018-2022,2,2019,annual,RS,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,35.00,0,0,120,0.00,,stable,14.00,0.83
1998-2002,4,2001,annual,SKÅ,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,35.00,0,0,120,0.00,,stable,14.00,0.83
2010-2014,4,2013,annual,ALP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,1,35.00,0,0,120,0.00,,stable,14.00,0.83
2014-2018,3,2016,annual,NYD,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,35.00,0,0,120,0.00,,stable,14.00,0.83
2010-2014,2,2011,annual,LBPO,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,35.00,0,0,120,0.00,,stable,14.00,0.83
1998-2002,1,1998,annual,S,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,,,0,120,,,baseline,14.00,0.83
2002-2006,3,2004,annual,-,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,1,35.00,0,0,120,0.00,,stable,14.00,0.83
1994-1998,3,1996,annual,---,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,1,35.00,0,0,120,0.00,,stable,14.00,0.83
2006-2010,1,2006,annual,SPI,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,,,0,120,,,baseline,14.00,0.83
1998-2002,2,1999,annual,ALP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,1,35.00,0,0,120,0.00,,stable,14.00,0.83
2002-2006,2,2003,annual,PP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,35.00,0,0,120,0.00,,stable,14.00,0.83
2006-2010,2,2007,annual,VägV,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,35.00,0,0,120,0.00,,stable,14.00,0.83
2018-2022,2,2019,annual,FP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,2,35.00,0,0,120,0.00,,stable,14.00,0.83
2026-2030,1,2026,annual,NorrS,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,,,0,120,,,baseline,14.00,0.83
2006-2010,4,2009,annual,S,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,35.00,0,0,120,0.00,,stable,14.00,0.83
2010-2014,1,2010,annual,SD,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,,,0,120,,,baseline,14.00,0.83
1998-2002,3,2000,annual,ALP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,1,35.00,0,0,120,0.00,,stable,14.00,0.83
2006-2010,2,2007,annual,MP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,35.00,0,0,120,0.00,,stable,14.00,0.83
2006-2010,3,2008,annual,JL,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,2,35.00,0,0,120,0.00,,stable,14.00,0.83
2022-2026,1,2022,annual,VägV,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,,,0,120,,,baseline,14.00,0.83
2026-2030,3,2028,annual,SKÅ,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,4,35.00,0,0,120,0.00,,stable,14.00,0.83
2014-2018,1,2014,annual,L,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,2,,,0,120,,,baseline,14.00,0.83
1998-2002,2,1999,annual,S,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,35.00,0,0,120,0.00,,stable,14.00,0.83
2010-2014,2,2011,annual,ALP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,1,35.00,0,0,120,0.00,,stable,14.00,0.83
1998-2002,3,2000,annual,NYD,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,3,35.00,0,0,120,0.00,,stable,14.00,0.83
2030-2034,1,2030,annual,EAP,35.00,0,0,0.00,0.00,0,0.00,0,1,1,0,1,,,0,30,,,baseline,14.00,3.33
