election_cycle_id,cycle_year,calendar_year,semester,risk_forecast_category,politicians_at_risk,avg_risk_score_change,ministries_at_risk,avg_ministry_productivity,avg_party_win_rate_trend,parties_with_increasing_absence,rank_by_risk_score,percent_rank_risk,ntile_forecast_group,prev_semester_risk,lead_semester_risk,stddev_risk,change_risk_pct,risk_trajectory,forecast_confidence,predictive_alert_level
1998-2002,4,2001,spring,STABLE,0,,0,,,0,1,0,4,,,,,baseline,low_confidence,low
2006-2010,1,2006,spring,STABLE,0,,0,,,0,1,0,1,,,,,baseline,low_confidence,low
2022-2026,4,2025,spring,STABLE,0,,0,,,0,1,0,4,,,,,baseline,low_confidence,low
1994-1998,1,1994,spring,STABLE,0,,0,,,0,1,0,1,,,,,baseline,low_confidence,low
2018-2022,1,2018,spring,STABLE,0,,0,,,0,1,0,1,,,,,baseline,low_confidence,low
2006-2010,3,2008,spring,STABLE,0,,0,,,0,1,0,3,,,,,baseline,low_confidence,low
2022-2026,2,2023,spring,STABLE,0,,0,,,0,1,0,2,,,,,baseline,low_confidence,low
2010-2014,3,2012,spring,STABLE,0,,0,,,0,1,0,3,,,,,baseline,low_confidence,low
2018-2022,3,2020,spring,STABLE,0,,0,,,0,1,0,3,,,,,baseline,low_confidence,low
2010-2014,4,2013,spring,STABLE,0,,0,,,0,1,0,4,,,,,baseline,low_confidence,low
1994-1998,4,1997,spring,STABLE,0,,0,,,0,1,0,4,,,,,baseline,low_confidence,low
2014-2018,1,2014,spring,STABLE,0,,0,,,0,1,0,1,,,,,baseline,low_confidence,low
1998-2002,3,2000,spring,STABLE,0,,0,,,0,1,0,3,,,,,baseline,low_confidence,low
2006-2010,4,2009,spring,STABLE,0,,0,,,0,1,0,4,,,,,baseline,low_confidence,low
2026-2030,4,2029,spring,STABLE,0,,0,,,0,1,0,4,,,,,baseline,low_confidence,low
2002-2006,2,2003,spring,STABLE,0,,0,,,0,1,0,2,,,,,baseline,low_confidence,low
1998-2002,1,1998,spring,STABLE,0,,0,,,0,1,0,1,,,,,baseline,low_confidence,low
1994-1998,2,1995,spring,STABLE,0,,0,,,0,1,0,2,,,,,baseline,low_confidence,low
2018-2022,2,2019,spring,STABLE,0,,0,,,0,1,0,2,,,,,baseline,low_confidence,low
2002-2006,4,2005,spring,STABLE,0,,0,,,0,1,0,4,,,,,baseline,low_confidence,low
2018-2022,4,2021,spring,STABLE,0,,0,,,0,1,0,4,,,,,baseline,low_confidence,low
2010-2014,1,2010,spring,STABLE,0,,0,,,0,1,0,1,,,,,baseline,low_confidence,low
2002-2006,3,2004,spring,STABLE,0,,0,,,0,1,0,3,,,,,baseline,low_confidence,low
1998-2002,2,1999,spring,STABLE,0,,0,,,0,1,0,2,,,,,baseline,low_confidence,low
2026-2030,3,2028,spring,STABLE,0,,0,,,0,1,0,3,,,,,baseline,low_confidence,low
2014-2018,3,2016,spring,STABLE,0,,0,,,0,1,0,3,,,,,baseline,low_confidence,low
2026-2030,1,2026,spring,STABLE,0,,0,,,0,1,0,1,,,,,baseline,low_confidence,low
2022-2026,3,2024,spring,STABLE,0,,0,,,0,1,0,3,,,,,baseline,low_confidence,low
2014-2018,4,2017,spring,STABLE,0,,0,,,0,1,0,4,,,,,baseline,low_confidence,low
2010-2014,2,2011,spring,STABLE,0,,0,,,0,1,0,2,,,,,baseline,low_confidence,low
2006-2010,2,2007,spring,STABLE,0,,0,,,0,1,0,2,,,,,baseline,low_confidence,low
2026-2030,2,2027,spring,STABLE,0,,0,,,0,1,0,2,,,,,baseline,low_confidence,low
2014-2018,2,2015,spring,STABLE,0,,0,,,0,1,0,2,,,,,baseline,low_confidence,low
1994-1998,3,1996,spring,STABLE,0,,0,,,0,1,0,3,,,,,baseline,low_confidence,low
2030-2034,1,2030,spring,STABLE,0,,0,,,0,1,0,1,,,,,baseline,low_confidence,low
2002-2006,1,2002,spring,STABLE,0,,0,,,0,1,0,1,,,,,baseline,low_confidence,low
2022-2026,1,2022,spring,STABLE,0,,0,,,0,1,0,1,,,,,baseline,low_confidence,low
