GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
service.external.riksdagen/service.external.common,com.hack23.cia.service.external.common.api,XmlAgentException,4,0,0,0,2,0,1,0,1,0
service.external.riksdagen/service.external.common,com.hack23.cia.service.external.common.impl,XmlAgentImpl,157,0,12,0,32,0,13,0,7,0
service.external.riksdagen/service.external.common,com.hack23.cia.service.external.common.impl,NameSpaceUtil,23,0,0,0,4,0,1,0,1,0
service.external.riksdagen/model.external.riksdagen.person.impl,com.hack23.cia.model.external.riksdagen.person.impl,PersonContainerData_,3,0,0,0,1,0,1,0,1,0
service.external.riksdagen/model.external.riksdagen.person.impl,com.hack23.cia.model.external.riksdagen.person.impl,AssignmentData_,3,0,0,0,1,0,1,0,1,0
service.external.riksdagen/model.external.riksdagen.person.impl,com.hack23.cia.model.external.riksdagen.person.impl,PersonContainerData,142,0,8,0,38,0,17,0,13,0
service.external.riksdagen/model.external.riksdagen.person.impl,com.hack23.cia.model.external.riksdagen.person.impl,PersonData,975,0,38,0,230,0,75,0,56,0
service.external.riksdagen/model.external.riksdagen.person.impl,com.hack23.cia.model.external.riksdagen.person.impl,PersonAssignmentData_,3,0,0,0,1,0,1,0,1,0
service.external.riksdagen/model.external.riksdagen.person.impl,com.hack23.cia.model.external.riksdagen.person.impl,RoundtripTest,7,0,0,0,3,0,3,0,3,0
service.external.riksdagen/model.external.riksdagen.person.impl,com.hack23.cia.model.external.riksdagen.person.impl,PersonAssignmentData,220,0,32,0,47,0,31,0,15,0
service.external.riksdagen/model.external.riksdagen.person.impl,com.hack23.cia.model.external.riksdagen.person.impl,DetailData,310,0,14,0,77,0,29,0,22,0
service.external.riksdagen/model.external.riksdagen.person.impl,com.hack23.cia.model.external.riksdagen.person.impl,RoleStatus,615,0,4,0,61,0,6,0,4,0
