GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
service.external.worldbank/service.external.common,com.hack23.cia.service.external.common.api,XmlAgentException,4,0,0,0,2,0,1,0,1,0
service.external.worldbank/service.external.common,com.hack23.cia.service.external.common.impl,XmlAgentImpl,157,0,12,0,32,0,13,0,7,0
service.external.worldbank/service.external.common,com.hack23.cia.service.external.common.impl,NameSpaceUtil,23,0,0,0,4,0,1,0,1,0
service.external.worldbank/model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,IncomeLevel,191,0,10,0,48,0,19,0,14,0
service.external.worldbank/model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,LendingType,191,0,10,0,48,0,19,0,14,0
service.external.worldbank/model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,LendingType_,3,0,0,0,1,0,1,0,1,0
service.external.worldbank/model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,CountryElement_,3,0,0,0,1,0,1,0,1,0
service.external.worldbank/model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,CountriesElement,444,0,40,0,99,0,47,0,27,0
service.external.worldbank/model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,Region,191,0,10,0,48,0,19,0,14,0
service.external.worldbank/model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,ObjectFactory,27,0,0,0,8,0,7,0,7,0
service.external.worldbank/model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,RegionCategory,131,0,4,0,17,0,6,0,4,0
service.external.worldbank/model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,IncomeLevel_,3,0,0,0,1,0,1,0,1,0
service.external.worldbank/model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,IncomeLevelCategory,120,0,4,0,16,0,6,0,4,0
service.external.worldbank/model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,Adminregion,191,0,10,0,48,0,19,0,14,0
service.external.worldbank/model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,AdminRegionCategory,109,0,4,0,15,0,6,0,4,0
service.external.worldbank/model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,Region_,3,0,0,0,1,0,1,0,1,0
service.external.worldbank/model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,RoundtripTest,7,0,0,0,3,0,3,0,3,0
service.external.worldbank/model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,CountriesElement_,3,0,0,0,1,0,1,0,1,0
service.external.worldbank/model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,LendingTypeCategory,109,0,4,0,15,0,6,0,4,0
service.external.worldbank/model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,CountryElement,646,0,26,0,155,0,53,0,40,0
service.external.worldbank/model.external.worldbank.countries.impl,com.hack23.cia.model.external.worldbank.countries.impl,Adminregion_,3,0,0,0,1,0,1,0,1,0
service.external.worldbank/model.external.worldbank.data.impl,com.hack23.cia.model.external.worldbank.data.impl,Country_,3,0,0,0,1,0,1,0,1,0
service.external.worldbank/model.external.worldbank.data.impl,com.hack23.cia.model.external.worldbank.data.impl,DataElement,444,0,40,0,99,0,47,0,27,0
service.external.worldbank/model.external.worldbank.data.impl,com.hack23.cia.model.external.worldbank.data.impl,Country,191,0,10,0,48,0,19,0,14,0
service.external.worldbank/model.external.worldbank.data.impl,com.hack23.cia.model.external.worldbank.data.impl,Indicator_,3,0,0,0,1,0,1,0,1,0
service.external.worldbank/model.external.worldbank.data.impl,com.hack23.cia.model.external.worldbank.data.impl,WorldBankData,310,0,14,0,77,0,29,0,22,0
service.external.worldbank/model.external.worldbank.data.impl,com.hack23.cia.model.external.worldbank.data.impl,ObjectFactory,19,0,0,0,6,0,5,0,5,0
service.external.worldbank/model.external.worldbank.data.impl,com.hack23.cia.model.external.worldbank.data.impl,Indicator,191,0,10,0,48,0,19,0,14,0
service.external.worldbank/model.external.worldbank.data.impl,com.hack23.cia.model.external.worldbank.data.impl,WorldBankData_,3,0,0,0,1,0,1,0,1,0
service.external.worldbank/model.external.worldbank.data.impl,com.hack23.cia.model.external.worldbank.data.impl,RoundtripTest,7,0,0,0,3,0,3,0,3,0
service.external.worldbank/model.external.worldbank.data.impl,com.hack23.cia.model.external.worldbank.data.impl,DataElement_,3,0,0,0,1,0,1,0,1,0
service.external.worldbank/model.external.worldbank.topic.impl,com.hack23.cia.model.external.worldbank.topic.impl,TopicsElement_,3,0,0,0,1,0,1,0,1,0
service.external.worldbank/model.external.worldbank.topic.impl,com.hack23.cia.model.external.worldbank.topic.impl,ObjectFactory,26,0,0,0,6,0,5,0,5,0
service.external.worldbank/model.external.worldbank.topic.impl,com.hack23.cia.model.external.worldbank.topic.impl,TopicElement,254,0,12,0,64,0,25,0,19,0
service.external.worldbank/model.external.worldbank.topic.impl,com.hack23.cia.model.external.worldbank.topic.impl,RoundtripTest,7,0,0,0,3,0,3,0,3,0
service.external.worldbank/model.external.worldbank.topic.impl,com.hack23.cia.model.external.worldbank.topic.impl,TopicElement_,3,0,0,0,1,0,1,0,1,0
service.external.worldbank/model.external.worldbank.topic.impl,com.hack23.cia.model.external.worldbank.topic.impl,TopicsElement,444,0,40,0,99,0,47,0,27,0
service.external.worldbank/model.external.worldbank.indicators.impl,com.hack23.cia.model.external.worldbank.indicators.impl,Source,191,0,10,0,48,0,19,0,14,0
service.external.worldbank/model.external.worldbank.indicators.impl,com.hack23.cia.model.external.worldbank.indicators.impl,RoundtripTest,7,0,0,0,3,0,3,0,3,0
service.external.worldbank/model.external.worldbank.indicators.impl,com.hack23.cia.model.external.worldbank.indicators.impl,ObjectFactory,38,0,0,0,9,0,8,0,8,0
service.external.worldbank/model.external.worldbank.indicators.impl,com.hack23.cia.model.external.worldbank.indicators.impl,IndicatorElement,422,0,18,0,103,0,37,0,28,0
service.external.worldbank/model.external.worldbank.indicators.impl,com.hack23.cia.model.external.worldbank.indicators.impl,Topics,220,0,32,0,47,0,31,0,15,0
service.external.worldbank/model.external.worldbank.indicators.impl,com.hack23.cia.model.external.worldbank.indicators.impl,IndicatorsElement_,3,0,0,0,1,0,1,0,1,0
service.external.worldbank/model.external.worldbank.indicators.impl,com.hack23.cia.model.external.worldbank.indicators.impl,Topics_,3,0,0,0,1,0,1,0,1,0
service.external.worldbank/model.external.worldbank.indicators.impl,com.hack23.cia.model.external.worldbank.indicators.impl,IndicatorsElement,444,0,40,0,99,0,47,0,27,0
service.external.worldbank/model.external.worldbank.indicators.impl,com.hack23.cia.model.external.worldbank.indicators.impl,SourceName,252,0,4,0,28,0,6,0,4,0
service.external.worldbank/model.external.worldbank.indicators.impl,com.hack23.cia.model.external.worldbank.indicators.impl,IndicatorElement_,3,0,0,0,1,0,1,0,1,0
service.external.worldbank/model.external.worldbank.indicators.impl,com.hack23.cia.model.external.worldbank.indicators.impl,Source_,3,0,0,0,1,0,1,0,1,0
service.external.worldbank/model.external.worldbank.indicators.impl,com.hack23.cia.model.external.worldbank.indicators.impl,Topic,198,0,10,0,51,0,21,0,16,0
service.external.worldbank/model.external.worldbank.indicators.impl,com.hack23.cia.model.external.worldbank.indicators.impl,Topic_,3,0,0,0,1,0,1,0,1,0
