GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
service.impl,com.hack23.cia.service.impl.task,RefreshViewsJob,0,8,0,0,0,3,0,2,0,2
service.impl,com.hack23.cia.service.impl.task,UpdateSearchIndexJob,0,17,0,0,0,7,0,2,0,2
service.impl,com.hack23.cia.service.impl.task,AbstractJob,0,33,0,0,0,11,0,3,0,3
service.impl,com.hack23.cia.service.impl.task,JobContextHolderImpl,0,23,0,0,0,10,0,4,0,4
service.impl,com.hack23.cia.service.impl.task,AgentJob,0,28,0,0,0,4,0,2,0,2
service.impl,com.hack23.cia.service.impl.action.application.encryption,VaultManagerImpl,7,194,4,12,3,46,4,10,0,6
service.impl,com.hack23.cia.service.impl,ConfigurationManagerImpl,2,187,3,21,1,38,3,15,0,6
service.impl,com.hack23.cia.service.impl,SecurityAuthenticationProvider,0,9,0,0,0,3,0,3,0,3
service.impl,com.hack23.cia.service.impl,UserConfigurationImpl,0,21,0,0,0,8,0,4,0,4
service.impl,com.hack23.cia.service.impl,ViewDataDataContainerFactoryImpl,105,16,0,0,14,4,14,3,14,3
service.impl,com.hack23.cia.service.impl,GenericDataContainer,108,17,0,0,13,5,13,2,13,2
service.impl,com.hack23.cia.service.impl,ApplicationManagerImpl,7,70,1,5,1,18,2,7,1,5
service.impl,com.hack23.cia.service.impl,BootstrapDefaultConfig,0,36,0,0,0,13,0,4,0,4
service.impl,com.hack23.cia.service.impl,ViewRiksdagenCommitteeDataContainer,23,5,4,0,5,2,3,1,1,1
service.impl,com.hack23.cia.service.impl,DataAgentContainerImpl,0,11,0,0,0,5,0,2,0,2
service.impl,com.hack23.cia.service.impl.action.user.wordcount,WordCounterImpl,7,126,0,4,2,31,0,6,0,4
service.impl,com.hack23.cia.service.impl.action.common,AbstractBusinessServiceImpl,2,130,2,6,1,33,2,14,0,12
service.impl,com.hack23.cia.service.impl.action.user,SearchDocumentService,0,146,0,8,0,30,0,9,0,5
service.impl,com.hack23.cia.service.impl.action.user,SetGoogleAuthenticatorCredentialService,5,165,2,4,1,39,2,6,0,5
service.impl,com.hack23.cia.service.impl.action.user,DocumentWordCountService,6,88,1,3,1,24,1,6,0,5
service.impl,com.hack23.cia.service.impl.action.user,DisableGoogleAuthenticatorCredentialService,5,111,2,4,1,27,2,6,0,5
service.impl,com.hack23.cia.service.impl.action.application,RegisterUserService,15,304,3,11,3,62,3,10,0,6
service.impl,com.hack23.cia.service.impl.action.application,LogoutService,5,98,1,3,1,29,1,6,0,5
service.impl,com.hack23.cia.service.impl.action.application,DestroyApplicationSessionService,0,65,0,4,0,18,0,7,0,5
service.impl,com.hack23.cia.service.impl.action.application,CreateApplicationEventService,9,101,1,7,2,25,3,5,2,2
service.impl,com.hack23.cia.service.impl.action.application,LoginService,8,234,3,19,1,54,3,14,0,6
service.impl,com.hack23.cia.service.impl.action.application,CreateApplicationSessionService,9,67,0,0,2,18,2,3,2,3
service.impl,com.hack23.cia.service.impl.rules,ComplianceCheckAgendaEventListener,0,28,0,0,0,8,0,2,0,2
service.impl,com.hack23.cia.service.impl.rules,RulesEngineImpl,0,482,11,29,0,99,11,29,0,20
service.impl,com.hack23.cia.service.impl.rules,PartyComplianceCheckImpl,2,104,4,10,2,23,4,12,0,9
service.impl,com.hack23.cia.service.impl.rules,RulesConfiguration,9,65,1,5,2,14,1,5,0,3
service.impl,com.hack23.cia.service.impl.rules,AbstractComplianceCheckImpl,53,57,2,4,10,10,6,6,5,4
service.impl,com.hack23.cia.service.impl.rules,PoliticianComplianceCheckImpl,2,128,4,8,2,24,4,13,0,11
service.impl,com.hack23.cia.service.impl.email,EmailServiceImpl,4,329,1,1,1,44,1,5,0,5
service.impl,com.hack23.cia.service.impl.action.kpi,ComplianceCheckServiceImpl,0,122,0,4,0,29,0,8,0,6
service.impl,com.hack23.cia.service.impl.action.admin,ManageUserAccountService,0,164,1,5,0,40,1,11,0,9
service.impl,com.hack23.cia.service.impl.action.admin,SendEmailService,0,67,0,2,0,18,0,5,0,4
service.impl,com.hack23.cia.service.impl.action.admin,UpdateSearchIndexService,12,66,0,2,4,21,0,6,0,5
service.impl,com.hack23.cia.service.impl.action.admin,UpdateApplicationConfigurationService,5,97,1,3,1,27,1,5,0,4
service.impl,com.hack23.cia.service.impl.action.admin,RefreshDataViewsService,0,61,0,2,0,18,0,5,0,4
service.impl,com.hack23.cia.service.impl.action.admin,RemoveDataService,0,91,1,5,0,25,1,7,0,4
service.impl,com.hack23.cia.service.impl.action.application.access,LoginBlockResultImpl,0,25,0,0,0,9,0,5,0,5
service.impl,com.hack23.cia.service.impl.action.application.access,LoginBlockedAccessImpl,0,357,4,18,0,57,4,16,0,9
